TechnologyType,Quote,QuoteAudio
TECH_POTTERY,LOC_TECH_POTTERY_QUOTE_1,Play_Pottery_Quote_1
TECH_POTTERY,LOC_TECH_POTTERY_QUOTE_2,Play_Pottery_Quote_2
TECH_ANIMAL_HUSBANDRY,LOC_TECH_ANIMAL_HUSBANDRY_QUOTE_1,Play_Animal_Husbandry_Quote_1
TECH_ANIMAL_HUSBANDRY,LOC_TECH_ANIMAL_HUSBANDRY_QUOTE_2,Play_Animal_Husbandry_Quote_2
TECH_MINING,LOC_TECH_MINING_QUOTE_1,Play_Mining_Quote_1
TECH_MINING,LOC_TECH_MINING_QUOTE_2,Play_Mining_Quote_2
TECH_SAILING,LOC_TECH_SAILING_QUOTE_1,Play_Sailing_Quote_1
TECH_SAILING,LOC_TECH_SAILING_QUOTE_2,Play_Sailing_Quote_2
TECH_ASTROLOGY,LOC_TECH_ASTROLOGY_QUOTE_1,Play_Astrology_Quote_1
TECH_ASTROLOGY,LOC_TECH_ASTROLOGY_QUOTE_2,Play_Astrology_Quote_2
TECH_IRRIGATION,LOC_TECH_IRRIGATION_QUOTE_1,Play_Irrigation_Quote_1
TECH_IRRIGATION,LOC_TECH_IRRIGATION_QUOTE_2,Play_Irrigation_Quote_2
TECH_ARCHERY,LOC_TECH_ARCHERY_QUOTE_1,Play_Archery_Quote_1
TECH_ARCHERY,LOC_TECH_ARCHERY_QUOTE_2,Play_Archery_Quote_2
TECH_WRITING,LOC_TECH_WRITING_QUOTE_1,Play_Writing_Quote_1
TECH_WRITING,LOC_TECH_WRITING_QUOTE_2,Play_Writing_Quote_2
TECH_MASONRY,LOC_TECH_MASONRY_QUOTE_1,Play_Masonry_Quote_1
TECH_MASONRY,LOC_TECH_MASONRY_QUOTE_2,Play_Masonry_Quote_2
TECH_BRONZE_WORKING,LOC_TECH_BRONZE_WORKING_QUOTE_1,Play_Bronze_Working_Quote_1
TECH_BRONZE_WORKING,LOC_TECH_BRONZE_WORKING_QUOTE_2,Play_Bronze_Working_Quote_2
