TerrainClassType,TerrainType
TERRAIN_CLASS_GRASS,TERRAIN_GRASS
TERRAIN_CLASS_GRASS,TERRAIN_GRASS_HILLS
TERRAIN_CLASS_MOUNTAIN,TERRAIN_GRASS_MOUNTAIN
TERRAIN_CLASS_PLAINS,TERRAIN_PLAINS
TERRAIN_CLASS_PLAINS,TERRAIN_PLAINS_HILLS
TERRAIN_CLASS_MOUNTAIN,TERRAIN_PLAINS_MOUNTAIN
TERRAIN_CLASS_DESERT,TERRAIN_DESERT
TERRAIN_CLASS_DESERT,TERRAIN_DESERT_HILLS
TERRAIN_CLASS_MOUNTAIN,TERRAIN_DESERT_MOUNTAIN
TERRAIN_CLASS_TUNDRA,TERRAIN_TUNDRA
TERRAIN_CLASS_TUNDRA,TERRAIN_TUNDRA_HILLS
TERRAIN_CLASS_MOUNTAIN,TERRAIN_TUNDRA_MOUNTAIN
TERRAIN_CLASS_SNOW,TERRAIN_SNOW
TERRAIN_CLASS_SNOW,TERRAIN_SNOW_HILLS
TERRAIN_CLASS_MOUNTAIN,TERRAIN_SNOW_MOUNTAIN
TERRAIN_CLASS_WATER,TERRAIN_COAST
TERRAIN_CLASS_WATER,TERRAIN_OCEAN
