TerrainType,YieldType,YieldChange
TERRAIN_GRASS,YIELD_FOOD,2
TERRAIN_GRASS_HILLS,YIELD_FOOD,2
TERRAIN_PLAINS,YIELD_FOOD,1
TERRAIN_PLAINS_HILLS,YIELD_FOOD,1
TERRAIN_TUNDRA,YIELD_FOOD,1
TERRAIN_TUNDRA_HILLS,YIELD_FOOD,1
TERRAIN_COAST,YIELD_FOOD,1
TERRAIN_COAST,YIELD_GOLD,1
TERRAIN_OCEAN,YIELD_FOOD,1
TERRAIN_GRASS_HILLS,YIELD_PRODUCTION,1
TERRAIN_PLAINS,YIELD_PRODUCTION,1
TERRAIN_PLAINS_HILLS,YIELD_PRODUCTION,2
TERRAIN_TUNDRA_HILLS,YIELD_PRODUCTION,1
TERRAIN_SNOW_HILLS,YIELD_PRODUCTION,1
TERRAIN_DESERT_HILLS,YIELD_PRODUCTION,1
