TerrainType,Name,Mountain,Hills,Water,InfluenceCost,MovementCost,ShallowWater,SightModifier,SightThroughModifier,Impassable,DefenseModifier,Appeal,AntiquityPriority
TERRAIN_GRASS,LOC_TERRAIN_GRASS_NAME,0,0,0,1,1,0,0,0,0,0,0,2
TERRAIN_GRASS_HILLS,LOC_TERRAIN_GRASS_HILLS_NAME,0,1,0,1,2,0,1,1,0,3,0,2
TERRAIN_GRASS_MOUNTAIN,LOC_TERRAIN_GRASS_MOUNTAIN_NAME,1,0,0,3,1,0,2,2,1,0,1,0
TERRAIN_PLAINS,LOC_TERRAIN_PLAINS_NAME,0,0,0,1,1,0,0,0,0,0,0,2
TERRAIN_PLAINS_HILLS,LOC_TERRAIN_PLAINS_HILLS_NAME,0,1,0,1,2,0,1,1,0,3,0,2
TERRAIN_PLAINS_MOUNTAIN,LOC_TERRAIN_PLAINS_MOUNTAIN_NAME,1,0,0,3,1,0,2,2,1,0,1,0
TERRAIN_DESERT,LOC_TERRAIN_DESERT_NAME,0,0,0,2,1,0,0,0,0,0,0,5
TERRAIN_DESERT_HILLS,LOC_TERRAIN_DESERT_HILLS_NAME,0,1,0,2,2,0,1,1,0,3,0,5
TERRAIN_DESERT_MOUNTAIN,LOC_TERRAIN_DESERT_MOUNTAIN_NAME,1,0,0,3,1,0,2,2,1,0,1,0
TERRAIN_TUNDRA,LOC_TERRAIN_TUNDRA_NAME,0,0,0,2,1,0,0,0,0,0,0,3
TERRAIN_TUNDRA_HILLS,LOC_TERRAIN_TUNDRA_HILLS_NAME,0,1,0,2,2,0,1,1,0,3,0,3
TERRAIN_TUNDRA_MOUNTAIN,LOC_TERRAIN_TUNDRA_MOUNTAIN_NAME,1,0,0,3,1,0,2,2,1,0,1,0
TERRAIN_SNOW,LOC_TERRAIN_SNOW_NAME,0,0,0,2,1,0,0,0,0,0,0,1
TERRAIN_SNOW_HILLS,LOC_TERRAIN_SNOW_HILLS_NAME,0,1,0,2,2,0,1,1,0,3,0,1
TERRAIN_SNOW_MOUNTAIN,LOC_TERRAIN_SNOW_MOUNTAIN_NAME,1,0,0,3,1,0,2,2,1,0,1,0
TERRAIN_COAST,LOC_TERRAIN_COAST_NAME,0,0,1,2,1,1,0,0,0,0,1,2
TERRAIN_OCEAN,LOC_TERRAIN_OCEAN_NAME,0,0,1,1,1,0,0,0,0,0,0,0
