TraitType,Name,Description,InternalOnly
TRAIT_AGENDA_ALLY_OF_ENKIDU,,,0
TRAIT_AGENDA_AYYUBID_DYNASTY,,,0
TRAIT_AGENDA_BACKSTAB_AVERSE,,,0
TRAIT_AGENDA_BIG_STICK_POLICY,,,0
TRAIT_AGENDA_BLACK_QUEEN,,,0
TRAIT_AGENDA_BUSHIDO,,,0
TRAIT_AGENDA_CITY_STATE_ALLY,,,0
TRAIT_AGENDA_COUNTER_REFORMER,,,0
TRAIT_AGENDA_DELIAN_LEAGUE,,,0
TRAIT_AGENDA_ENTHUSIASTIC_DISCIPLE,,,0
TRAIT_AGENDA_GREAT_PERSON_OBSESSED,,,0
TRAIT_AGENDA_IRON_CROWN,,,0
TRAIT_AGENDA_LAST_VIKING_KING,,,0
TRAIT_AGENDA_OPTIMUS_PRINCEPS,,,0
TRAIT_AGENDA_PEACEKEEPER,,,0
TRAIT_AGENDA_QUEEN_OF_NILE,,,0
TRAIT_AGENDA_SUN_NEVER_SETS,,,0
TRAIT_AGENDA_TLATOANI,,,0
TRAIT_AGENDA_WESTERNIZER,,,0
TRAIT_AGENDA_WITH_SHIELD,,,0
TRAIT_AGENDA_WONDER_OBSESSED,,,0
TRAIT_AGENDA_PREFER_CLEAR_BANDIT_CAMPS,,,0
TRAIT_AGENDA_BARBARIAN_LOVER,,,0
TRAIT_AGENDA_ENJOYS_WAR,,,0
TRAIT_AGENDA_IGNORE_WARMONGERING,,,0
TRAIT_AGENDA_NATURALIST,,,0
TRAIT_AGENDA_PREFER_NUKES,,,0
TRAIT_AGENDA_PARANOID,,,0
TRAIT_AGENDA_PREFER_CULTURE,,,0
TRAIT_AGENDA_PREFER_HAPPINESS,,,0
TRAIT_AGENDA_PREFER_INCOME,,,0
TRAIT_AGENDA_PREFER_INDUSTRY,,,0
TRAIT_AGENDA_PREFER_POPULATION,,,0
TRAIT_AGENDA_PREFER_SCIENCE,,,0
TRAIT_AGENDA_PREFER_STANDING_ARMY,,,0
TRAIT_AGENDA_PREFER_AIRPOWER,,,0
TRAIT_AGENDA_PREFER_CITY_STATE_PROTECTOR,,,0
TRAIT_AGENDA_PREFER_EXPLOITATION,,,0
TRAIT_AGENDA_PREFER_ENVIRONMENT,,,0
TRAIT_AGENDA_PREFER_SAME_GOVERNMENT,,,0
TRAIT_AGENDA_PREFER_FAITH,,,0
TRAIT_AGENDA_EXPLORATION_OBSESSED,,,0
TRAIT_AGENDA_GREAT_PERSON_ADVOCATE,,,0
TRAIT_AGENDA_WONDER_ADVOCATE,,,0
TRAIT_BARBARIAN,,,1
TRAIT_BARBARIAN_BUT_SHOWS_UP_IN_PEDIA,,,1
TRAIT_CIVILIZATION_FOUNDING_FATHERS,LOC_TRAIT_CIVILIZATION_FOUNDING_FATHERS_NAME,LOC_TRAIT_CIVILIZATION_FOUNDING_FATHERS_EXPANSION2_DESCRIPTION,0
TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO,LOC_TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO_NAME,LOC_TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO_DESCRIPTION,0
TRAIT_CIVILIZATION_LAST_PROPHET,LOC_TRAIT_CIVILIZATION_LAST_PROPHET_NAME,LOC_TRAIT_CIVILIZATION_LAST_PROPHET_DESCRIPTION,0
TRAIT_CIVILIZATION_BUILDING_MADRASA,LOC_TRAIT_CIVILIZATION_BUILDING_MADRASA_NAME,,0
TRAIT_CIVILIZATION_AMAZON,LOC_TRAIT_CIVILIZATION_AMAZON_NAME,LOC_TRAIT_CIVILIZATION_AMAZON_DESCRIPTION,0
TRAIT_CIVILIZATION_DYNASTIC_CYCLE,LOC_TRAIT_CIVILIZATION_DYNASTIC_CYCLE_NAME,LOC_TRAIT_CIVILIZATION_DYNASTIC_CYCLE_EXPANSION2_DESCRIPTION,0
TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL_NAME,,0
TRAIT_CIVILIZATION_ITERU,LOC_TRAIT_CIVILIZATION_ITERU_NAME,LOC_TRAIT_CIVILIZATION_ITERU_EXPANSION2_DESCRIPTION,0
TRAIT_CIVILIZATION_IMPROVEMENT_SPHINX,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_SPHINX_NAME,,0
TRAIT_CIVILIZATION_UNIT_EGYPTIAN_CHARIOT_ARCHER,LOC_TRAIT_CIVILIZATION_UNIT_EGYPTIAN_CHARIOT_ARCHER_NAME,,0
TRAIT_CIVILIZATION_UNIT_CHINESE_CROUCHING_TIGER,LOC_TRAIT_CIVILIZATION_UNIT_CHINESE_CROUCHING_TIGER_NAME,,0
TRAIT_CIVILIZATION_DOUBLE_ARCHAEOLOGY_SLOTS,LOC_TRAIT_CIVILIZATION_DOUBLE_ARCHAEOLOGY_SLOTS_NAME,LOC_TRAIT_CIVILIZATION_DOUBLE_ARCHAEOLOGY_SLOTS_DESCRIPTION,0
TRAIT_CIVILIZATION_IMPROVEMENT_CHATEAU,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_CHATEAU_NAME,,0
TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES,LOC_TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES_NAME,LOC_TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES_DESCRIPTION,0
TRAIT_CIVILIZATION_DISTRICT_HANSA,LOC_TRAIT_CIVILIZATION_DISTRICT_HANSA_NAME,,0
TRAIT_CIVILIZATION_PLATOS_REPUBLIC,LOC_TRAIT_CIVILIZATION_PLATOS_REPUBLIC_NAME,LOC_TRAIT_CIVILIZATION_PLATOS_REPUBLIC_DESCRIPTION,0
TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS,LOC_TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS_NAME,,0
TRAIT_CIVILIZATION_UNIT_GREEK_HOPLITE,LOC_TRAIT_CIVILIZATION_UNIT_GREEK_HOPLITE_NAME,,0
TRAIT_CIVILIZATION_DHARMA,LOC_TRAIT_CIVILIZATION_DHARMA_NAME,LOC_TRAIT_CIVILIZATION_DHARMA_EXPANSION2_DESCRIPTION,0
TRAIT_CIVILIZATION_IMPROVEMENT_STEPWELL,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_STEPWELL_NAME,,0
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,LOC_TRAIT_CIVILIZATION_ADJACENT_DISTRICTS_NAME,LOC_TRAIT_CIVILIZATION_ADJACENT_DISTRICTS_DESCRIPTION,0
TRAIT_CIVILIZATION_BUILDING_ELECTRONICS_FACTORY,LOC_TRAIT_CIVILIZATION_BUILDING_ELECTRONICS_FACTORY_NAME,,0
TRAIT_CIVILIZATION_UNIT_JAPANESE_SAMURAI,LOC_TRAIT_CIVILIZATION_UNIT_JAPANESE_SAMURAI_NAME,,0
TRAIT_CIVILIZATION_NKISI,LOC_TRAIT_CIVILIZATION_NKISI_NAME,LOC_TRAIT_CIVILIZATION_NKISI_HEROES_DESCRIPTION,0
TRAIT_CIVILIZATION_MBANZA,LOC_TRAIT_CIVILIZATION_MBANZA_NAME,,0
TRAIT_CIVILIZATION_BUILDING_STAVE_CHURCH,LOC_TRAIT_CIVILIZATION_BUILDING_STAVE_CHURCH_NAME,,0
TRAIT_CIVILIZATION_DOUBLE_CULTURE_BUILDINGS,LOC_TRAIT_CIVILIZATION_DOUBLE_CULTURE_BUILDINGS_NAME,LOC_TRAIT_CIVILIZATION_DOUBLE_CULTURE_BUILDINGS_DESCRIPTION,0
TRAIT_CIVILIZATION_DISTRICT_BATH,LOC_TRAIT_CIVILIZATION_DISTRICT_BATH_NAME,,0
TRAIT_CIVILIZATION_UNIT_ROMAN_LEGION,LOC_TRAIT_CIVILIZATION_UNIT_ROMAN_LEGION_NAME,,0
TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME,LOC_TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME_NAME,LOC_TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME_DESCRIPTION,0
TRAIT_CIVILIZATION_UNIT_KONGO_SHIELD_BEARER,LOC_TRAIT_CIVILIZATION_UNIT_KONGO_SHIELD_BEARER_NAME,,0
TRAIT_CIVILIZATION_MOTHER_RUSSIA,LOC_TRAIT_CIVILIZATION_MOTHER_RUSSIA_NAME,LOC_TRAIT_CIVILIZATION_MOTHER_RUSSIA_EXPANSION2_DESCRIPTION,0
