DefnId,NodeId,TreeName,Tag,DefaultData,ParentTag,UniqueId
0,1,Barbarian City Attack,,66,,1
0,3,Barbarian City Attack,,,,2
1,3,Barbarian City Attack,,,,3
2,3,Barbarian City Attack,,,,4
3,3,Barbarian City Attack,,,,5
4,3,Barbarian City Attack,Target City,,,6
5,3,Barbarian City Attack,Target City Plot,,,7
6,3,Barbarian City Attack,,,,8
7,3,Barbarian City Attack,,,,9
8,3,Barbarian City Attack,Tribe,,,10
0,5,Barbarian City Attack,Tribe,,,11
1,5,Barbarian City Attack,,2,,12
2,5,Barbarian City Attack,,0,,13
0,7,Barbarian City Attack,,15,,14
0,8,Barbarian City Attack,Tribe,,,15
1,8,Barbarian City Attack,,3,,16
2,8,Barbarian City Attack,,2,,17
3,8,Barbarian City Attack,,1,,18
4,8,Barbarian City Attack,,1,,19
5,8,Barbarian City Attack,,0,,20
0,9,Barbarian City Attack,Tribe,,,21
0,10,Barbarian City Attack,Tribe,,,22
1,12,Barbarian City Attack,,UNITTYPE_MELEE,,23
2,12,Barbarian City Attack,,,,24
3,12,Barbarian City Attack,,UNITTYPE_SIEGE_SUPPORT,,25
4,12,Barbarian City Attack,,,,26
0,13,Barbarian City Attack,,0,,27
1,13,Barbarian City Attack,,2,,28
2,13,Barbarian City Attack,,1,,29
3,13,Barbarian City Attack,,2,,30
0,15,Barbarian City Attack,,1,,31
1,15,Barbarian City Attack,,1,,32
1,16,Barbarian City Attack,,UNITTYPE_MELEE,,33
2,16,Barbarian City Attack,,,,34
3,16,Barbarian City Attack,,UNITTYPE_SIEGE_SUPPORT,,35
4,16,Barbarian City Attack,,,,36
0,17,Barbarian City Attack,,1,,37
1,17,Barbarian City Attack,,2,,38
2,17,Barbarian City Attack,,0,,39
3,17,Barbarian City Attack,,2,,40
0,21,Barbarian City Attack,,1,,41
1,21,Barbarian City Attack,,0,,42
1,22,Barbarian City Attack,,UNITTYPE_MELEE,,43
2,22,Barbarian City Attack,,,,44
3,22,Barbarian City Attack,,UNITTYPE_SIEGE_SUPPORT,,45
4,22,Barbarian City Attack,,,,46
0,24,Barbarian City Attack,,1,,47
1,24,Barbarian City Attack,,0,,48
2,24,Barbarian City Attack,,0,,49
3,24,Barbarian City Attack,,2,,50
0,25,Barbarian City Attack,Tribe,,,51
0,1,Barbarian Found City,,,,52
1,1,Barbarian Found City,,,,53
2,1,Barbarian Found City,,,,54
3,1,Barbarian Found City,,,,55
4,1,Barbarian Found City,,,,56
5,1,Barbarian Found City,Home Camp,,,57
6,1,Barbarian Found City,,,,58
7,1,Barbarian Found City,,,,59
8,1,Barbarian Found City,Tribe Index,,,60
1,3,Barbarian Found City,,0.25,,61
1,4,Barbarian Found City,Home Camp,,,62
2,4,Barbarian Found City,,1,,63
3,4,Barbarian Found City,,1,,64
4,4,Barbarian Found City,,1,,65
0,5,Barbarian Found City,Tribe Index,,,66
0,1,Build City Building,Needed Unit,,,67
1,1,Build City Building,Needed Building,,,68
2,1,Build City Building,,,,69
3,1,Build City Building,,,,70
4,1,Build City Building,City,,,71
5,1,Build City Building,,,,72
6,1,Build City Building,Needed Tech,,,73
7,1,Build City Building,Needed Civic,,,74
8,1,Build City Building,Present Value,,,75
0,2,Build City Building,,,,76
1,2,Build City Building,Tech Contract,,,77
2,2,Build City Building,,5,,78
0,3,Build City Building,Needed Unit,,,79
1,3,Build City Building,Needed Building,,,80
2,3,Build City Building,,,,81
3,3,Build City Building,,,,82
4,3,Build City Building,,,,83
6,3,Build City Building,,,,84
7,3,Build City Building,Tech Contract,,,85
8,3,Build City Building,Present Value,,,86
0,4,Build City Building,Unit Contract,,,87
1,4,Build City Building,,,,88
2,4,Build City Building,,5,,89
0,5,Build City Building,Needed Unit,,,90
1,5,Build City Building,Needed Building,,,91
2,5,Build City Building,City,,,92
4,5,Build City Building,Unit Contract,,,93
6,5,Build City Building,,,,94
8,5,Build City Building,Present Value,,,95
0,1,Build City District,,,,96
1,1,Build City District,,,,97
2,1,Build City District,,,,98
3,1,Build City District,Needed District,,,99
4,1,Build City District,City,,,100
5,1,Build City District,Location,,,101
6,1,Build City District,Needed Tech,,,102
7,1,Build City District,Needed Civic,,,103
8,1,Build City District,Present Value,,,104
0,4,Build City District,District Purchase Contract,,,105
1,4,Build City District,,,,106
2,4,Build City District,,10,,107
1,5,Build City District,Location,,,108
2,5,Build City District,District Purchase Contract,,,109
0,6,Build City District,Location,,,110
1,6,Build City District,City,,,111
2,6,Build City District,Present Value,,,112
0,7,Build City District,,,,113
1,7,Build City District,District Tech Contract,,,114
2,7,Build City District,,8,,115
0,8,Build City District,,,,116
1,8,Build City District,,,,117
2,8,Build City District,,,,118
3,8,Build City District,,,,119
4,8,Build City District,Needed Tech,,,120
5,8,Build City District,,1,,121
6,8,Build City District,Needed Civic,,,122
7,8,Build City District,District Tech Contract,,,123
8,8,Build City District,Present Value,,,124
0,11,Build City District,Location,,,125
1,11,Build City District,Needed District,,,126
2,11,Build City District,,,,127
3,11,Build City District,,,,128
4,11,Build City District,Harvest,,,129
5,11,Build City District,Builder Type,,,130
0,13,Build City District,,,,131
1,13,Build City District,Clear Ground Contract,,,132
2,13,Build City District,,10,,133
0,14,Build City District,,,,134
1,14,Build City District,,,,135
2,14,Build City District,,,,136
3,14,Build City District,Location,,,137
4,14,Build City District,,,,138
6,14,Build City District,,,,139
7,14,Build City District,Clear Ground Contract,,,140
8,14,Build City District,Present Value,,,141
0,16,Build City District,Builder Type,,,142
2,16,Build City District,Clearing Builder,,,143
3,16,Build City District,,,,144
4,16,Build City District,,,,145
1,18,Build City District,,0,,146
1,19,Build City District,Location,,,147
2,19,Build City District,,0,,148
3,19,Build City District,,0,,149
1,20,Build City District,,1,,150
2,20,Build City District,Location,,,151
3,20,Build City District,Harvest,,,152
0,21,Build City District,None,,,153
0,23,Build City District,District Build Contract,,,154
1,23,Build City District,,,,155
2,23,Build City District,,15,,156
0,24,Build City District,,,,157
1,24,Build City District,,,,158
2,24,Build City District,City,,,159
4,24,Build City District,District Build Contract,,,160
5,24,Build City District,,4,,161
6,24,Build City District,Needed District,,,162
7,24,Build City District,Location,,,163
8,24,Build City District,Present Value,,,164
0,25,Build City District,,0,,165
1,25,Build City District,,,,166
2,25,Build City District,,1,,167
0,26,Build City District,District Build Contract,,,168
1,26,Build City District,,,,169
2,26,Build City District,,-1,,170
3,26,Build City District,,0,,171
4,26,Build City District,,100,,172
0,29,Build City District,,,,173
1,29,Build City District,Location,,,174
2,29,Build City District,District Charger,,,175
3,29,Build City District,,,,176
4,29,Build City District,,UNIT_BUILDER,,177
0,30,Build City District,Hurry District Contract,,,178
1,30,Build City District,,,,179
2,30,Build City District,,50,,180
0,31,Build City District,Builder Type,,,181
1,31,Build City District,,,,182
4,31,Build City District,Hurry District Contract,,,183
6,31,Build City District,,,,184
7,31,Build City District,Location,,,185
8,31,Build City District,Present Value,,,186
0,32,Build City District,Hurry District Contract,,,187
1,33,Build City District,Location,,,188
2,33,Build City District,,0,,189
3,33,Build City District,,0,,190
4,33,Build City District,,0,,191
0,34,Build City District,Location,,,192
1,34,Build City District,1,,,193
0,1,Build City Improvement,,,,194
1,1,Build City Improvement,,,,195
2,1,Build City Improvement,Needed Improvement,,,196
3,1,Build City Improvement,,,,197
4,1,Build City Improvement,City,,,198
5,1,Build City Improvement,Location,,,199
6,1,Build City Improvement,,,,200
7,1,Build City Improvement,,,,201
8,1,Build City Improvement,Present Value,,,202
0,4,Build City Improvement,Location,,,203
1,4,Build City Improvement,City,,,204
2,4,Build City Improvement,Present Value,,,205
0,5,Build City Improvement,,,,206
1,5,Build City Improvement,Improvement Tech Contract,,,207
2,5,Build City Improvement,,10,,208
0,6,Build City Improvement,,,,209
1,6,Build City Improvement,,,,210
2,6,Build City Improvement,Needed Improvement,,,211
3,6,Build City Improvement,Location,,,212
4,6,Build City Improvement,,,,213
5,6,Build City Improvement,,1,,214
6,6,Build City Improvement,,,,215
