TriggerType,TreeName,OperationName,AIEvent,Priority
TRIGGER_RELIGION_FOUNDED,Launch Inquisition,,AI_EVENT_FOUNDED_RELIGION,3
TRIGGER_TECH_UPGRADE,Upgrade Units,,AI_EVENT_GAIN_TECH,3
TRIGGER_CIVIC_UPGRADE,Upgrade Units,,AI_EVENT_GAIN_CIVIC,3
TRIGGER_CAPTURE_CIV,Escort Worker To Camp,Civilian Builder Capture,AI_EVENT_UNIT_CAPTURED,3
TRIGGER_SETTLE_SPOT,Settle City Op,Settle New City,AI_EVENT_DESIRE_SETTLE,4
TRIGGER_AVAILABLE_ARCHAEOLOGIST,Manage Archaeologist,,AI_EVENT_MANAGE_ARCHAEOLOGIST,2
TRIGGER_AVAILABLE_GREATPERSON,Manage Great Person,,AI_EVENT_GREAT_PERSON_GAINED,2
TRIGGER_AVAILABLE_SPY,Manage Spy,,AI_EVENT_MANAGE_SPY,4
TRIGGER_CAPTURE_BARBARIAN,Escort Worker To Camp,Barbarian Builder Capture,AI_EVENT_UNIT_CAPTURED,2
TRIGGER_RELIGIOUS_CITY_CONVERTED,Launch Inquisition,,AI_EVENT_RELIGIOUS_CITY_CONVERTED,3
TRIGGER_RAILROAD,Build Railroad,,AI_EVENT_NEEDS_RAILROAD,2
