ID,TurnPhaseType,PhaseOrder,TurnMode,ActiveSegmentType,InactiveSegmentType
1,TURNPHASE_SINGLEPLAYER,0,TURNMODE_SEQUENTIAL,TURNSEG_SINGLEPLAYER,
2,TURNPHASE_SIMULTANEOUS,0,TURNMODE_SIMULTANEOUS,TURNSEG_SINGLEPHASE,
3,TURNPHASE_DYNAMIC,0,TURNMODE_DYNAMIC,TURNSEG_SINGLEPHASE,
4,TURNPHASE_TWOPHASE,0,TURNMODE_DYNAMIC,TURNSEG_TACTICAL,
5,TURNPHASE_TWOPHASE,1,TURNMODE_SIMULTANEOUS,TURNSEG_STRATEGIC,
6,TURNPHASE_SINGLEPLAYER,1,TURNMODE_SEQUENTIAL,TURNSEG_WORLDCONGRESS_1,
7,TURNPHASE_SINGLEPLAYER,2,TURNMODE_SEQUENTIAL,TURNSEG_WORLDCONGRESS_2,
8,TURNPHASE_SINGLEPLAYER,3,TURNMODE_SEQUENTIAL,TURNSEG_WORLDCONGRESS_RESOLUTION,
9,TURNPHASE_SIMULTANEOUS,1,TURNMODE_SIMULTANEOUS,TURNSEG_WORLDCONGRESS_1,
10,TURNPHASE_SIMULTANEOUS,2,TURNMODE_SIMULTANEOUS,TURNSEG_WORLDCONGRESS_2,
11,TURNPHASE_SIMULTANEOUS,3,TURNMODE_SIMULTANEOUS,TURNSEG_WORLDCONGRESS_RESOLUTION,
12,TURNPHASE_DYNAMIC,1,TURNMODE_DYNAMIC,TURNSEG_WORLDCONGRESS_1,
13,TURNPHASE_DYNAMIC,2,TURNMODE_DYNAMIC,TURNSEG_WORLDCONGRESS_2,
14,TURNPHASE_DYNAMIC,3,TURNMODE_DYNAMIC,TURNSEG_WORLDCONGRESS_RESOLUTION,
