Type,Name,Value,PropertyType
CIVILIZATION_BRUSSELS,CityStateCategory,INDUSTRIAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_BUENOS_AIRES,CityStateCategory,INDUSTRIAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_GENEVA,CityStateCategory,SCIENTIFIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_HATTUSA,CityStateCategory,SCIENTIFIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_HONG_KONG,CityStateCategory,INDUSTRIAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_JAKARTA,CityStateCategory,TRADE,PROPERTYTYPE_IDENTITY
CIVILIZATION_JERUSALEM,CityStateCategory,RELIGIOUS,PROPERTYTYPE_IDENTITY
CIVILIZATION_KABUL,CityStateCategory,MILITARISTIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_KANDY,CityStateCategory,RELIGIOUS,PROPERTYTYPE_IDENTITY
CIVILIZATION_KUMASI,CityStateCategory,CULTURAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_LA_VENTA,CityStateCategory,RELIGIOUS,PROPERTYTYPE_IDENTITY
CIVILIZATION_LISBON,CityStateCategory,TRADE,PROPERTYTYPE_IDENTITY
CIVILIZATION_MOHENJO_DARO,CityStateCategory,CULTURAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_NAN_MADOL,CityStateCategory,CULTURAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_PRESLAV,CityStateCategory,MILITARISTIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_VALLETTA,CityStateCategory,MILITARISTIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_VILNIUS,CityStateCategory,CULTURAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_YEREVAN,CityStateCategory,RELIGIOUS,PROPERTYTYPE_IDENTITY
CIVILIZATION_ZANZIBAR,CityStateCategory,TRADE,PROPERTYTYPE_IDENTITY
CIVILIZATION_AUCKLAND,CityStateCategory,INDUSTRIAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_ANTANANARIVO,CityStateCategory,CULTURAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_ARMAGH,CityStateCategory,RELIGIOUS,PROPERTYTYPE_IDENTITY
CIVILIZATION_GRANADA,CityStateCategory,MILITARISTIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_MUSCAT,CityStateCategory,TRADE,PROPERTYTYPE_IDENTITY
CIVILIZATION_PALENQUE,CityStateCategory,SCIENTIFIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_ANTIOCH,CityStateCategory,TRADE,PROPERTYTYPE_IDENTITY
CIVILIZATION_BABYLON,CityStateCategory,SCIENTIFIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_AKKAD,CityStateCategory,MILITARISTIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_BOLOGNA,CityStateCategory,SCIENTIFIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_CAHOKIA,CityStateCategory,TRADE,PROPERTYTYPE_IDENTITY
CIVILIZATION_CARDIFF,CityStateCategory,INDUSTRIAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_FEZ,CityStateCategory,SCIENTIFIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_MEXICO_CITY,CityStateCategory,INDUSTRIAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_NAZCA,CityStateCategory,RELIGIOUS,PROPERTYTYPE_IDENTITY
CIVILIZATION_NGAZARGAMU,CityStateCategory,MILITARISTIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_RAPA_NUI,CityStateCategory,CULTURAL,PROPERTYTYPE_IDENTITY
UNITCOMMAND_TREAT_WITH_CLAN_DISPERSE,XP_EARNED,10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,RAID_CONVERSION_POINTS_CHANGE,-10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,RAID_INTERVAL_STANDARD,10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,HIRE_CONVERSION_POINTS_CHANGE,5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,HIRE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,BRIBE_BASE_COST,50,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,BRIBE_CONVERSION_POINTS_CHANGE,8,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,BRIBE_INTERVAL_STANDARD,20,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,RANSOM_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,INCITE_BASE_COST,160,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,INCITE_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_OPEN,INCITE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,RAID_CONVERSION_POINTS_CHANGE,-10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,RAID_INTERVAL_STANDARD,10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,HIRE_CONVERSION_POINTS_CHANGE,5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,HIRE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,BRIBE_BASE_COST,50,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,BRIBE_CONVERSION_POINTS_CHANGE,8,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,BRIBE_INTERVAL_STANDARD,20,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,RANSOM_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,INCITE_BASE_COST,160,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,INCITE_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_FOREST,INCITE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,RAID_CONVERSION_POINTS_CHANGE,-10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,RAID_INTERVAL_STANDARD,10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,HIRE_CONVERSION_POINTS_CHANGE,5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,HIRE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,BRIBE_BASE_COST,50,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,BRIBE_CONVERSION_POINTS_CHANGE,8,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,BRIBE_INTERVAL_STANDARD,20,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,RANSOM_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,INCITE_BASE_COST,160,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,INCITE_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_MELEE_HILLS,INCITE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,RAID_CONVERSION_POINTS_CHANGE,-10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,RAID_INTERVAL_STANDARD,10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,HIRE_CONVERSION_POINTS_CHANGE,5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,HIRE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,BRIBE_BASE_COST,50,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,BRIBE_CONVERSION_POINTS_CHANGE,8,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,BRIBE_INTERVAL_STANDARD,20,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,RANSOM_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,INCITE_BASE_COST,200,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,INCITE_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_OPEN,INCITE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,RAID_CONVERSION_POINTS_CHANGE,-10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,RAID_INTERVAL_STANDARD,10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,HIRE_CONVERSION_POINTS_CHANGE,5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,HIRE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,BRIBE_BASE_COST,50,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,BRIBE_CONVERSION_POINTS_CHANGE,8,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,BRIBE_INTERVAL_STANDARD,20,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,RANSOM_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,INCITE_BASE_COST,200,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,INCITE_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_JUNGLE,INCITE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,RAID_CONVERSION_POINTS_CHANGE,-10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,RAID_INTERVAL_STANDARD,10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,HIRE_CONVERSION_POINTS_CHANGE,5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,HIRE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,BRIBE_BASE_COST,50,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,BRIBE_CONVERSION_POINTS_CHANGE,8,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,BRIBE_INTERVAL_STANDARD,20,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,RANSOM_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,INCITE_BASE_COST,200,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,INCITE_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_CAVALRY_CHARIOT,INCITE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,RAID_CONVERSION_POINTS_CHANGE,-10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,RAID_INTERVAL_STANDARD,10,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,HIRE_CONVERSION_POINTS_CHANGE,5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,HIRE_INTERVAL_STANDARD,20,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,BRIBE_BASE_COST,30,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,BRIBE_CONVERSION_POINTS_CHANGE,8,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,BRIBE_INTERVAL_STANDARD,20,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,RANSOM_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,INCITE_BASE_COST,120,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,INCITE_CONVERSION_POINTS_CHANGE,-5,PROPERTYTYPE_IDENTITY
TRIBE_CLAN_NAVAL,INCITE_INTERVAL_STANDARD,15,PROPERTYTYPE_IDENTITY
CIVILIZATION_CAGUANA,CityStateCategory,CULTURAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_HUNZA,CityStateCategory,TRADE,PROPERTYTYPE_IDENTITY
CIVILIZATION_LAHORE,CityStateCategory,MILITARISTIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_SINGAPORE,CityStateCategory,INDUSTRIAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_TARUGA,CityStateCategory,SCIENTIFIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_VATICAN_CITY,CityStateCategory,RELIGIOUS,PROPERTYTYPE_IDENTITY
UNIT_VAMPIRE,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
CIVILIZATION_AYUTTHAYA,CityStateCategory,CULTURAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_CHINGUETTI,CityStateCategory,RELIGIOUS,PROPERTYTYPE_IDENTITY
CIVILIZATION_JOHANNESBURG,CityStateCategory,INDUSTRIAL,PROPERTYTYPE_IDENTITY
CIVILIZATION_NALANDA,CityStateCategory,SCIENTIFIC,PROPERTYTYPE_IDENTITY
CIVILIZATION_SAMARKAND,CityStateCategory,TRADE,PROPERTYTYPE_IDENTITY
CIVILIZATION_WOLIN,CityStateCategory,MILITARISTIC,PROPERTYTYPE_IDENTITY
UNIT_HERO_ANANSI,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_ARTHUR,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_BEOWULF,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_HERCULES,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIMIKO,LIFESPAN,40,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIPPOLYTA,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_HUNAHPU,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_OYA,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_MAUI,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_MULAN,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_SINBAD,LIFESPAN,30,PROPERTYTYPE_IDENTITY
UNIT_HERO_WUKONG,LIFESPAN,50,PROPERTYTYPE_IDENTITY
UNIT_QUESTING_KNIGHT,LIFESPAN,12,PROPERTYTYPE_IDENTITY
UNIT_HERO_ANANSI,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_ANANSI,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_ANANSI,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_ARTHUR,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_ARTHUR,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
