Type,Tag
REQUIREMENT_PLAYER_HAS_GIVEN_INFLUENCE_TOKENS,INFLUENCE_REQUIREMENT
REQUIREMENT_PLAYER_IS_SUZERAIN,INFLUENCE_REQUIREMENT
MODIFIER_PLAYER_DIPLOMACY_AGENDA_ARCHIPELAGIC_STATE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_AYYUBID_DYNASTY,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_BACKSTAB_AVERSE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_BLACK_QUEEN,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_BULL_MOOSE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_BUSHIDO,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_END_TO_SUFFERING,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_ENVIRONMENT,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_EXPLOITATIVE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_LAST_VIKING_KING,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_MAGNIFICENCES,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_OPTIMUS_PRINCEPS,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_PARANOID,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_PERPETUALLY_ON_GUARD,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_QUEEN_OF_NILE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_WITH_SHIELD_OR_ON_IT,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_AGENDA_ZEALOT,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_ARCHAEOLOGY,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_BROKEN_PROMISE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_ESPIONAGE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_GOVERNMENTS,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_INCURSION,DIPLOMACY_MODIFIER
