Type,Hash,Kind
TRAIT_AGENDA_ALLY_OF_ENKIDU,1928642623,KIND_TRAIT
TRAIT_AGENDA_AYYUBID_DYNASTY,429453653,KIND_TRAIT
TRAIT_AGENDA_BACKSTAB_AVERSE,693277927,KIND_TRAIT
TRAIT_AGENDA_BIG_STICK_POLICY,773035274,KIND_TRAIT
TRAIT_AGENDA_BLACK_QUEEN,-245649766,KIND_TRAIT
TRAIT_AGENDA_BUSHIDO,-1348424908,KIND_TRAIT
TRAIT_AGENDA_CITY_STATE_ALLY,-557959974,KIND_TRAIT
TRAIT_AGENDA_COUNTER_REFORMER,-1056665487,KIND_TRAIT
TRAIT_AGENDA_DELIAN_LEAGUE,1261045333,KIND_TRAIT
TRAIT_AGENDA_ENTHUSIASTIC_DISCIPLE,233516874,KIND_TRAIT
TRAIT_AGENDA_GREAT_PERSON_OBSESSED,302729854,KIND_TRAIT
TRAIT_AGENDA_IRON_CROWN,-1232678044,KIND_TRAIT
TRAIT_AGENDA_LAST_VIKING_KING,-1866941541,KIND_TRAIT
TRAIT_AGENDA_OPTIMUS_PRINCEPS,-866449083,KIND_TRAIT
TRAIT_AGENDA_PEACEKEEPER,-130443133,KIND_TRAIT
TRAIT_AGENDA_QUEEN_OF_NILE,-987006272,KIND_TRAIT
TRAIT_AGENDA_SUN_NEVER_SETS,1546055570,KIND_TRAIT
TRAIT_AGENDA_TLATOANI,-1220789762,KIND_TRAIT
TRAIT_AGENDA_WESTERNIZER,822249449,KIND_TRAIT
TRAIT_AGENDA_WITH_SHIELD,-778755814,KIND_TRAIT
TRAIT_AGENDA_WONDER_OBSESSED,1689696680,KIND_TRAIT
TRAIT_AGENDA_PREFER_CLEAR_BANDIT_CAMPS,-1851701464,KIND_TRAIT
TRAIT_AGENDA_BARBARIAN_LOVER,912489093,KIND_TRAIT
TRAIT_AGENDA_ENJOYS_WAR,1453731917,KIND_TRAIT
TRAIT_AGENDA_IGNORE_WARMONGERING,-1360177932,KIND_TRAIT
TRAIT_AGENDA_NATURALIST,1845785406,KIND_TRAIT
TRAIT_AGENDA_PREFER_NUKES,1568821102,KIND_TRAIT
TRAIT_AGENDA_PARANOID,-63857130,KIND_TRAIT
TRAIT_AGENDA_PREFER_CULTURE,-1392952069,KIND_TRAIT
TRAIT_AGENDA_PREFER_HAPPINESS,1162306005,KIND_TRAIT
TRAIT_AGENDA_PREFER_INCOME,-1162444862,KIND_TRAIT
TRAIT_AGENDA_PREFER_INDUSTRY,960226081,KIND_TRAIT
TRAIT_AGENDA_PREFER_POPULATION,82146791,KIND_TRAIT
TRAIT_AGENDA_PREFER_SCIENCE,2101842360,KIND_TRAIT
TRAIT_AGENDA_PREFER_STANDING_ARMY,-810440958,KIND_TRAIT
TRAIT_AGENDA_PREFER_AIRPOWER,-1194417268,KIND_TRAIT
TRAIT_AGENDA_PREFER_CITY_STATE_PROTECTOR,-1287350613,KIND_TRAIT
TRAIT_AGENDA_PREFER_EXPLOITATION,-880303888,KIND_TRAIT
