UnitAbilityType,Name,Description,Inactive,ShowFloatTextWhenEarned,Permanent
ABILITY_ANTI_CAVALRY,LOC_ABILITY_ANTI_CAVALRY_NAME,LOC_ABILITY_ANTI_CAVALRY_DESCRIPTION,0,0,1
ABILITY_HEAVY_CHARIOT,LOC_ABILITY_HEAVY_CHARIOT_NAME,LOC_ABILITY_HEAVY_CHARIOT_DESCRIPTION,0,0,1
ABILITY_IGNORE_TERRAIN_COST,LOC_ABILITY_IGNORE_TERRAIN_COST_NAME,LOC_ABILITY_IGNORE_TERRAIN_COST_DESCRIPTION,0,0,1
ABILITY_IGNORE_CROSSING_RIVERS_COST,LOC_ABILITY_IGNORE_CROSSING_RIVERS_COST_NAME,LOC_ABILITY_IGNORE_CROSSING_RIVERS_COST_DESCRIPTION,0,0,1
ABILITY_ARCHAEOLOGIST_ENTER_FOREIGN_LANDS,LOC_ABILITY_ARCHAEOLOGIST_ENTER_FOREIGN_LANDS_NAME,LOC_ABILITY_ARCHAEOLOGIST_ENTER_FOREIGN_LANDS_DESCRIPTION,1,0,1
ABILITY_RELIGIOUS_ENTER_FOREIGN_LANDS,LOC_ABILITY_RELIGIOUS_ENTER_FOREIGN_LANDS_NAME,LOC_ABILITY_RELIGIOUS_ENTER_FOREIGN_LANDS_DESCRIPTION,0,0,1
ABILITY_RELIGIOUS_IGNORE_TERRAIN_COST,LOC_ABILITY_RELIGIOUS_IGNORE_TERRAIN_COST_NAME,LOC_ABILITY_RELIGIOUS_IGNORE_TERRAIN_COST_DESCRIPTION,1,0,1
ABILITY_IGNORE_ZOC,LOC_ABILITY_IGNORE_ZOC_NAME,LOC_ABILITY_IGNORE_ZOC_DESCRIPTION,0,0,1
ABILITY_LIGHT_CHARIOT,LOC_ABILITY_LIGHT_CHARIOT_NAME,LOC_ABILITY_LIGHT_CHARIOT_DESCRIPTION,0,0,1
ABILITY_NO_MOVE_AND_SHOOT,LOC_ABILITY_NO_MOVE_AND_SHOOT_NAME,LOC_ABILITY_NO_MOVE_AND_SHOOT_DESCRIPTION,0,0,1
ABILITY_ENABLE_WALL_ATTACK,LOC_ABILITY_ENABLE_WALL_ATTACK_NAME,LOC_ABILITY_ENABLE_WALL_ATTACK_DESCRIPTION,0,0,1
ABILITY_BYPASS_WALLS,LOC_ABILITY_BYPASS_WALLS_NAME,LOC_ABILITY_BYPASS_WALLS_DESCRIPTION,0,0,1
