UnitAbilityType,ModifierId
ABILITY_ANTI_CAVALRY,ANTI_CAVALRY_COMBAT_BONUS
ABILITY_IGNORE_TERRAIN_COST,MOD_IGNORE_TERRAIN_COST
ABILITY_IGNORE_CROSSING_RIVERS_COST,MOD_IGNORE_CROSSING_RIVERS_COST
ABILITY_ARCHAEOLOGIST_ENTER_FOREIGN_LANDS,MOD_ENTER_FOREIGN_LANDS
ABILITY_RELIGIOUS_ENTER_FOREIGN_LANDS,MOD_ENTER_FOREIGN_LANDS
ABILITY_RELIGIOUS_IGNORE_TERRAIN_COST,MOD_IGNORE_TERRAIN_COST
ABILITY_RELIGIOUS_IGNORE_TERRAIN_COST,MOD_IGNORE_CROSSING_RIVERS_COST
ABILITY_HEAVY_CHARIOT,HEAVYCHARIOT_FASTER_CLEAR_TERRAIN
ABILITY_IGNORE_ZOC,IGNOREZOC_IGNORE_ZOC
ABILITY_LIGHT_CHARIOT,LIGHTCHARIOT_FASTER_CLEAR_TERRAIN
ABILITY_NO_FOREIGN_SPREAD,NO_FOREIGN_SPREAD
ABILITY_NO_MOVE_AND_SHOOT,NOMOVEANDSHOOT_MOVE_AND_ATTACK
ABILITY_RELIGIOUS_CANNOT_ATTACK,CANNOT_ATTACK
ABILITY_FRIENDLY_TERRITORY_RELIGIOUS,FRIENDLY_TERRITORY_COMBAT
ABILITY_ENABLE_WALL_ATTACK,ENABLE_WALL_ATTACK
ABILITY_BYPASS_WALLS,BYPASS_WALLS
ABILITY_ANTI_SPEAR,ANTI_SPEAR
ABILITY_RECEIVE_RANGE_BONUS,RECEIVE_RANGE_BONUS
ABILITY_GRANT_RANGE_BONUS,GRANT_RANGE_BONUS
ABILITY_UNOBSTRUCTED_VIEW,UNOBSTRUCTED_VIEW
ABILITY_UNOBSTRUCTED_VIEW,UNOBSTRUCTED_VIEW_TERRAIN
ABILITY_OLIGARCHY_MELEE_BUFF,OLIGARCHY_MELEE_BUFF
ABILITY_THEOCRACY_RELIGIOUS_BUFF,THEOCRACY_RELIGIOUS_BUFF
ABILITY_RELIGIOUS_ORDERS_BUFF,RELIGIOUS_ORDERS_BUFF
ABILITY_FASCISM_ATTACK_BUFF,FASCISM_ATTACK_BUFF
ABILITY_COMMUNISM_DEFENSE_BUFF,COMMUNISM_DEFENSE_BUFF
ABILITY_MEDIC_HEAL,MEDIC_INCREASE_HEAL_RATE
ABILITY_STEALTH,UNIT_HIDDEN_VISIBILITY
ABILITY_SEE_HIDDEN,UNIT_SEE_HIDDEN
ABILITY_COASTAL_RAID,UNIT_COASTAL_RAID
ABILITY_MELEE_COASTAL_RAID,UNIT_COASTAL_RAID
ABILITY_BYPASS_COMBAT_UNIT,ATTACK_BYPASS_COMBAT_UNIT
ABILITY_HEAL_NEUTRAL_TERRITORY,MELEE_SHIP_HEAL_NEUTRAL
ABILITY_TRADE_ROUTE_PLUNDER_IMMUNITY_SEA,TRADE_ROUTE_PLUNDER_IMMUNITY_SEA
ABILITY_BERSERKER_RAGE,UNIT_STRONG_WHEN_ATTACKING
ABILITY_BERSERKER_RAGE,UNIT_WEAK_WHEN_DEFENDING
ABILITY_BERSERKER_MOVEMENT,BERSERKER_FASTER_ENEMY_TERRITORY
ABILITY_LONGSHIP_MOVEMENT,LONGSHIP_FASTER_COAST
ABILITY_PRIZE_SHIPS,CAPTURE_PRIZE_SHIPS
ABILITY_CAPTIVE_WORKERS,CAPTURE_COMBAT_UNITS_AS_WORKERS
ABILITY_BALKAN_CAVALRY,BALKAN_CAVALRY_COMBAT_HILLS
ABILITY_ALTITUDE_TRAINING,ALTITUDE_TRAINING_IGNORE_HILLS
ABILITY_COSSACK,COSSACK_LOCAL_COMBAT
ABILITY_COSSACK,COSSACK_MOVE_AND_ATTACK
ABILITY_REDCOAT,REDCOAT_FOREIGN_COMBAT
ABILITY_REDCOAT,REDCOAT_DISEMBARK
ABILITY_NAGAO,NAGAO_FOREST_SIGHT
ABILITY_NAGAO,NAGAO_FOREST_MOVEMENT
ABILITY_NAGAO,NAGAO_RANGED_DEFENSE
ABILITY_CONQUISTADOR,CONQUISTADOR_SPECIFIC_UNIT_COMBAT
ABILITY_CONQUISTADOR,CONQUISTADOR_CITY_RELIGION_COMBAT
ABILITY_GARDE,GARDE_GREAT_GENERAL_POINTS
ABILITY_GARDE,GARDE_CONTINENT_COMBAT
ABILITY_HOPLITE,HOPLITE_NEIGHBOR_COMBAT
ABILITY_UBOAT,UBOAT_OCEAN_COMBAT
ABILITY_ROUGH_RIDER,ROUGH_RIDER_POST_COMBAT_CULTURE
ABILITY_ROUGH_RIDER,ROUGH_RIDER_BONUS_ON_HILLS
ABILITY_MUSTANG,MUSTANG_MORE_EXPERIENCE
ABILITY_MUSTANG,ANTI_FIGHTER_AIRCRAFT_COMBAT_BONUS
ABILITY_MAMLUK,MAMLUK_HEAL_EVERY_MOVE
ABILITY_SAMURAI,SAMURAI_NO_REDUCTION_DAMAGE
ABILITY_PUSHBACK,HUSSAR_FORCE_RETREAT
ABILITY_DIGGER,DIGGER_BONUS_ON_COAST
ABILITY_DIGGER,DIGGER_NON_DOMESTIC_BONUS
ABILITY_GREAT_ADMIRAL_MOVEMENT,GREAT_GENERAL_MOVEMENT
ABILITY_GREAT_ADMIRAL_STRENGTH,GREAT_ADMIRAL_STRENGTH
ABILITY_GREAT_GENERAL_MOVEMENT,GREAT_GENERAL_MOVEMENT
ABILITY_GREAT_GENERAL_STRENGTH,GREAT_GENERAL_STRENGTH
ABILITY_BARRACKS_TRAINED_UNIT_XP,BARRACKS_TRAINED_UNIT_XP
ABILITY_STABLE_TRAINED_UNIT_XP,STABLE_TRAINED_UNIT_XP
ABILITY_ARMORY_TRAINED_UNIT_XP,ARMORY_TRAINED_UNIT_XP
ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP,MILITARY_ACADEMY_TRAINED_UNIT_XP
ABILITY_LIGHTHOUSE_TRAINED_UNIT_XP,LIGHTHOUSE_TRAINED_UNIT_XP
ABILITY_SHIPYARD_TRAINED_UNIT_XP,SHIPYARD_TRAINED_UNIT_XP
ABILITY_SEAPORT_TRAINED_UNIT_XP,SEAPORT_TRAINED_UNIT_XP
ABILITY_HANGAR_TRAINED_AIRCRAFT_XP,HANGAR_TRAINED_AIRCRAFT_XP
ABILITY_AIRPORT_TRAINED_AIRCRAFT_XP,AIRPORT_TRAINED_AIRCRAFT_XP
ABILITY_ROYAL_NAVY_DOCKYARD_MOVEMENT_BONUS,ROYAL_DOCKYARD_MOVEMENT_BONUS
ABILITY_GREAT_LIGHTHOUSE_MOVEMENT,GREAT_LIGHTHOUSE_SEA_MOVEMENT
ABILITY_RAJENDRA_CHOLA_PLUNDER_BONUS,RAJENDRA_CHOLA_PLUNDER_BONUS
ABILITY_FRANCIS_DRAKE_PLUNDER_BONUS,FRANCIS_DRAKE_PLUNDER_BONUS
ABILITY_CHING_SHIH_PLUNDER_BONUS,CHING_SHIH_PLUNDER_BONUS
ABILITY_CLANCY_FERNANDO_BONUS_EXPERIENCE,CLANCY_FERNANDO_BONUS_EXPERIENCE
ABILITY_HORATIO_NELSON_FLANKING_BONUS,HORATIO_NELSON_FLANKING_BONUS
ABILITY_LASKARINA_BOUBOULINA_BONUS_EXPERIENCE,LASKARINA_BOUBOULINA_BONUS_EXPERIENCE
ABILITY_SERGEY_GORSHKOV_BONUS_EXPERIENCE,SERGEY_GORSHKOV_BONUS_EXPERIENCE
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,GEORGY_ZHUKOV_FLANKING_BONUS
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,JOHN_MONASH_BONUS_EXPERIENCE
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,VIJAYA_WIMALARATNE_BONUS_EXPERIENCE
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS
ABILITY_HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS,HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,MONTEZUMA_COMBAT_BONUS_PER_LUXURY
ABILITY_PHILIP_II_COMBAT_BONUS_OTHER_RELIGION,PHILIP_II_COMBAT_BONUS_OTHER_RELIGION
ABILITY_BARBAROSSA_COMBAT_BONUS_VS_CITY_STATES,BARBAROSSA_COMBAT_BONUS_VS_CITY_STATES
ABILITY_ROOSEVELT_COMBAT_BONUS_HOME_CONTINENT,ROOSEVELT_COMBAT_BONUS_HOME_CONTINENT
ABILITY_TOMYRIS_BONUS_VS_WOUNDED_UNITS,TOMYRIS_BONUS_VS_WOUNDED_UNITS
ABILITY_TOMYRIS_HEAL_AFTER_DEFEATING_UNIT,TOMYRIS_HEAL_AFTER_DEFEATING_UNIT
ABILITY_KNARR_IGNORE_EMBARK_DISEMBARK_COST,KNARR_IGNORE_EMBARK_DISEMBARK_COST
ABILITY_GORGO_POLICY_SLOT_COMBAT_BONUS,GORGO_POLICY_SLOT_COMBAT_BONUS
ABILITY_JONG,JONG_BONUS_IN_FORMATION
ABILITY_JONG,ESCORT_MOBILITY_SHARED_MOVEMENT
ABILITY_MARTYR,APOSTLE_MARTYR
ABILITY_GITARJA_RELIGIOUS_NO_EMBARK_DISEMBARK_COST,GITARJA_RELIGIOUS_NO_EMBARK_DISEMBARK_COST
ABILITY_SPEAR_OF_FIONN,SPEAR_OF_FIONN_ADJUST_COMBAT_STRENGTH
ABILITY_NUBIA_RANGED_EXPERIENCE_MODIFIER,NUBIA_RANGED_EXPERIENCE_MODIFIER
ABILITY_HYPASPIST,HYPASPIST_SIEGE_BONUS
ABILITY_HYPASPIST,HYPASPIST_SUPPORT_BONUS
ABILITY_HETAIROI,HETAIROI_FREE_PROMOTION
ABILITY_HETAIROI,HETAIROI_GREAT_GENERAL_COMBAT_BONUS
ABILITY_HETAIROI,HETAIROI_GREAT_GENERAL_POINTS
ABILITY_BASILIKOI_TRAINED_UNIT_XP,BASILIKOI_TRAINED_UNIT_XP
ABILITY_ALPINE_TRAINING,ALPINE_TRAINING_IGNORE_HILLS
ABILITY_ALPINE_TRAINING,ALPINE_TRAINING_COMBAT_HILLS
ABILITY_ORDU_TRAINED_UNIT_XP,ORDU_TRAINED_XP
ABILITY_ORDU_INCREASED_MOVEMENT,ORDU_ADJUST_MOVEMENT
ABILITY_ECONOMIC_GOLDEN_AGE_PLUNDER_IMMUNITY,ECONOMIC_GOLDEN_AGE_PLUNDER_IMMUNITY_LAND
ABILITY_ECONOMIC_GOLDEN_AGE_PLUNDER_IMMUNITY,ECONOMIC_GOLDEN_AGE_PLUNDER_IMMUNITY_SEA
ABILITY_TWILIGHT_VALOR_ATTACK_BONUS,TWILIGHT_VALOR_ATTACK_BONUS
ABILITY_INQUISITION_FRIENDLY_TERRITORY_BONUS,INQUISITION_FRIENDLY_TERRITORY_BONUS
ABILITY_PARADROP,SPEC_OPS_PARADROP_ABILITY
ABILITY_RECEIVE_BOMBARD_STRENGTH_BUFF,BOMBARD_STR_BUFF_FROM_DRONE
ABILITY_SCOTTISH_HIGHLANDER,HIGHLANDER_COMBAT_BONUS_FOREST_AND_HILLS
ABILITY_DUTCH_ZEVEN_PROVINCIEN,ZEVEN_PROVINCIEN_BONUS_VS_DEF_DISTRICTS
ABILITY_MONGOLIAN_KESHIG,ESCORT_MOBILITY_SHARED_MOVEMENT
ABILITY_GEORGIAN_KHEVSURETI,KHEVSURETI_HILLS_BUFF
ABILITY_GEORGIAN_KHEVSURETI,KHEVSURETI_IGNORE_HILLS
ABILITY_MAPUCHE_MALON_RAIDER,MALON_RAIDER_TERRITORY_COMBAT_BONUS
ABILITY_MAPUCHE_MALON_RAIDER,MALON_RAIDER_LESS_MOVEMENT_PILLAGE
ABILITY_CREE_OKIHTCITAW,OKIHTCITAW_FREE_PROMOTION
ABILITY_ZULU_IMPI,IMPI_FASTER_COMBAT_XP
ABILITY_ZULU_IMPI,IMPI_INCREASED_FLANKING_BONUS
ABILITY_GRANT_MOVEMENT_BONUS,SUPPLY_CONVOY_BONUS_MOVEMENT
ABILITY_OLIGARCHY_LEGACY_MELEE_BUFF,OLIGARCHY_LEGACY_MELEE_BUFF
ABILITY_THEOCRACY_LEGACY_RELIGIOUS_BUFF,THEOCRACY_LEGACY_RELIGIOUS_BUFF
ABILITY_FASCISM_LEGACY_ATTACK_BUFF,FASCISM_LEGACY_ATTACK_BUFF
ABILITY_TOQUI_XP_FROM_GOVERNOR,TOQUI_GOVERNOR_UNIT_EXPERIENCE
ABILITY_TOQUI_XP_FROM_GOVERNOR_NOT_FOUNDED,TOQUI_GOVERNOR_UNIT_EXPERIENCE_NOT_FOUNDED
ABILITY_TOQUI_COMBAT_BUFF_VS_GOLDEN_AGE,TOQUI_COMBAT_BUFF_VS_GOLDEN_AGE
ABILITY_TIMUR_BONUS_EXPERIENCE,TIMUR_BONUS_EXPERIENCE
ABILITY_GENGHIS_KHAN_CAVALRY_BONUS,GENGHIS_KHAN_CAVALRY_BONUS
ABILITY_GUIDE_MOVEMENT_AOE_RELIGIOUS,GUIDE_MOVEMENT_AOE_RELIGIOUS_XP2
ABILITY_SAGE_COMBAT_AOE_RELIGIOUS,SAGE_COMBAT_AOE_RELIGIOUS_XP2
ABILITY_GURU_MOVEMENT,GURU_MOVEMENT_XP2
ABILITY_GURU_STRENGTH,GURU_STRENGTH_XP2
ABILITY_ROCK_BAND_ENTER_FOREIGN_LANDS,MOD_ENTER_FOREIGN_LANDS
ABILITY_UNIT_WMD_RESISTANCE,GDR_WMD_RESISTANCE
ABILITY_UNIT_FIGHT_WHILE_EMBARKED,GDR_FIGHT_WHILE_EMBARKED
ABILITY_UNIT_AUTO_VETERANCY,GDR_VETERAN_NAME
ABILITY_FINEST_HOUR_FRIENDLY_TERRITORY,FINEST_HOUR_FRIENDLY_BUFF
ABILITY_DIGITAL_DEMOCRACY_DEBUFF,DIGITAL_DEMOCRACY_DEBUFF
ABILITY_GLOBAL_COALITION_FRIENDLY_TERRITORY,GLOBAL_COALITION_FRIENDLY_TERRITORY
ABILITY_CYBER_WARFARE_COMBAT_BONUS,CYBER_WARFARE_INFO_FUTURE_BUFF
ABILITY_VARU,VARU_NEGATIVE_COMBAT
ABILITY_ENABLE_WALL_ATTACK_PROMOTION_CLASS,ENABLE_WALL_ATTACK_MELEE
ABILITY_ENABLE_WALL_ATTACK_PROMOTION_CLASS,ENABLE_WALL_ATTACK_ANTI_CAVALRY
ABILITY_BYPASS_WALLS_PROMOTION_CLASS,BYPASS_WALLS_MELEE
ABILITY_BYPASS_WALLS_PROMOTION_CLASS,BYPASS_WALLS_ANTI_CAVALRY
ABILITY_CHOLA_NAVAL_COMBAT,CHOLA_NAVAL_UNITS_COMBAT_STRENGTH
