UnitType,AiType
UNIT_SETTLER,UNITAI_SETTLE
UNIT_SETTLER,UNITTYPE_CIVILIAN
UNIT_BUILDER,UNITAI_BUILD
UNIT_BUILDER,UNITTYPE_CIVILIAN
UNIT_TRADER,UNITTYPE_CIVILIAN
UNIT_TRADER,UNITTYPE_TRADE
UNIT_SPY,UNITTYPE_CIVILIAN
UNIT_GREAT_GENERAL,UNITTYPE_CIVILIAN_LEADER
UNIT_GREAT_GENERAL,UNITAI_LEADER
UNIT_GREAT_ADMIRAL,UNITTYPE_CIVILIAN_LEADER
UNIT_GREAT_ADMIRAL,UNITAI_LEADER
UNIT_GREAT_ADMIRAL,UNITTYPE_NAVAL
UNIT_GREAT_ENGINEER,UNITTYPE_CIVILIAN
UNIT_GREAT_MERCHANT,UNITTYPE_CIVILIAN
UNIT_GREAT_PROPHET,UNITTYPE_CIVILIAN
UNIT_GREAT_SCIENTIST,UNITTYPE_CIVILIAN
UNIT_GREAT_SCIENTIST,UNITAI_LEADER
UNIT_GREAT_WRITER,UNITTYPE_CIVILIAN
UNIT_GREAT_ARTIST,UNITTYPE_CIVILIAN
UNIT_GREAT_MUSICIAN,UNITTYPE_CIVILIAN
UNIT_SCOUT,UNITAI_EXPLORE
UNIT_SCOUT,UNITTYPE_LAND_COMBAT
UNIT_RANGER,UNITAI_EXPLORE
UNIT_RANGER,UNITTYPE_LAND_COMBAT
UNIT_RANGER,UNITTYPE_RANGED
UNIT_NATURALIST,UNITAI_EXPLORE
UNIT_NATURALIST,UNITTYPE_CIVILIAN
UNIT_WARRIOR,UNITAI_COMBAT
UNIT_WARRIOR,UNITAI_EXPLORE
UNIT_WARRIOR,UNITTYPE_MELEE
UNIT_WARRIOR,UNITTYPE_LAND_COMBAT
UNIT_WARRIOR_MONK,UNITAI_COMBAT
UNIT_WARRIOR_MONK,UNITAI_EXPLORE
UNIT_WARRIOR_MONK,UNITTYPE_MELEE
UNIT_WARRIOR_MONK,UNITTYPE_LAND_COMBAT
UNIT_SPEARMAN,UNITAI_COMBAT
UNIT_SPEARMAN,UNITAI_EXPLORE
UNIT_SPEARMAN,UNITTYPE_MELEE
UNIT_SPEARMAN,UNITTYPE_ANTI_CAVALRY
UNIT_SPEARMAN,UNITTYPE_LAND_COMBAT
UNIT_SWORDSMAN,UNITAI_COMBAT
UNIT_SWORDSMAN,UNITAI_EXPLORE
UNIT_SWORDSMAN,UNITTYPE_MELEE
UNIT_SWORDSMAN,UNITTYPE_LAND_COMBAT
UNIT_MAN_AT_ARMS,UNITAI_COMBAT
UNIT_MAN_AT_ARMS,UNITAI_EXPLORE
UNIT_MAN_AT_ARMS,UNITTYPE_MELEE
UNIT_MAN_AT_ARMS,UNITTYPE_LAND_COMBAT
UNIT_PIKEMAN,UNITAI_COMBAT
UNIT_PIKEMAN,UNITAI_EXPLORE
UNIT_PIKEMAN,UNITTYPE_MELEE
UNIT_PIKEMAN,UNITTYPE_ANTI_CAVALRY
UNIT_PIKEMAN,UNITTYPE_LAND_COMBAT
UNIT_MUSKETMAN,UNITAI_COMBAT
UNIT_MUSKETMAN,UNITAI_EXPLORE
UNIT_MUSKETMAN,UNITTYPE_MELEE
UNIT_MUSKETMAN,UNITTYPE_LAND_COMBAT
UNIT_LINE_INFANTRY,UNITAI_COMBAT
UNIT_LINE_INFANTRY,UNITAI_EXPLORE
UNIT_LINE_INFANTRY,UNITTYPE_MELEE
UNIT_LINE_INFANTRY,UNITTYPE_LAND_COMBAT
UNIT_INFANTRY,UNITAI_COMBAT
UNIT_INFANTRY,UNITAI_EXPLORE
UNIT_INFANTRY,UNITTYPE_MELEE
UNIT_INFANTRY,UNITTYPE_LAND_COMBAT
UNIT_AT_CREW,UNITAI_COMBAT
UNIT_AT_CREW,UNITAI_EXPLORE
UNIT_AT_CREW,UNITTYPE_MELEE
UNIT_AT_CREW,UNITTYPE_ANTI_CAVALRY
UNIT_AT_CREW,UNITTYPE_LAND_COMBAT
UNIT_MECHANIZED_INFANTRY,UNITAI_COMBAT
UNIT_MECHANIZED_INFANTRY,UNITAI_EXPLORE
UNIT_MECHANIZED_INFANTRY,UNITTYPE_MELEE
UNIT_MECHANIZED_INFANTRY,UNITTYPE_LAND_COMBAT
UNIT_MODERN_AT,UNITAI_COMBAT
UNIT_MODERN_AT,UNITAI_EXPLORE
UNIT_MODERN_AT,UNITTYPE_MELEE
UNIT_MODERN_AT,UNITTYPE_ANTI_CAVALRY
UNIT_MODERN_AT,UNITTYPE_LAND_COMBAT
UNIT_SLINGER,UNITAI_COMBAT
UNIT_SLINGER,UNITTYPE_RANGED
UNIT_SLINGER,UNITTYPE_LAND_COMBAT
UNIT_ARCHER,UNITAI_COMBAT
UNIT_ARCHER,UNITTYPE_RANGED
UNIT_ARCHER,UNITTYPE_LAND_COMBAT
UNIT_CROSSBOWMAN,UNITAI_COMBAT
UNIT_CROSSBOWMAN,UNITTYPE_RANGED
UNIT_CROSSBOWMAN,UNITTYPE_LAND_COMBAT
UNIT_FIELD_CANNON,UNITTYPE_LAND_COMBAT
UNIT_FIELD_CANNON,UNITTYPE_RANGED
UNIT_FIELD_CANNON,UNITAI_COMBAT
UNIT_MACHINE_GUN,UNITTYPE_LAND_COMBAT
UNIT_MACHINE_GUN,UNITTYPE_RANGED
UNIT_MACHINE_GUN,UNITAI_COMBAT
UNIT_HORSEMAN,UNITAI_COMBAT
UNIT_HORSEMAN,UNITAI_EXPLORE
UNIT_HORSEMAN,UNITTYPE_CAVALRY
UNIT_HORSEMAN,UNITTYPE_MELEE
UNIT_HORSEMAN,UNITTYPE_LAND_COMBAT
UNIT_CAVALRY,UNITAI_COMBAT
UNIT_CAVALRY,UNITAI_EXPLORE
UNIT_CAVALRY,UNITTYPE_MELEE
UNIT_CAVALRY,UNITTYPE_CAVALRY
UNIT_CAVALRY,UNITTYPE_LAND_COMBAT
UNIT_HELICOPTER,UNITAI_COMBAT
UNIT_HELICOPTER,UNITAI_EXPLORE
UNIT_HELICOPTER,UNITTYPE_MELEE
UNIT_HELICOPTER,UNITTYPE_CAVALRY
UNIT_HELICOPTER,UNITTYPE_LAND_COMBAT
UNIT_CATAPULT,UNITAI_COMBAT
UNIT_CATAPULT,UNITTYPE_RANGED
UNIT_CATAPULT,UNITTYPE_SIEGE
UNIT_CATAPULT,UNITTYPE_SIEGE_ALL
UNIT_CATAPULT,UNITTYPE_LAND_COMBAT
UNIT_TREBUCHET,UNITAI_COMBAT
UNIT_TREBUCHET,UNITTYPE_RANGED
UNIT_TREBUCHET,UNITTYPE_SIEGE
UNIT_TREBUCHET,UNITTYPE_SIEGE_ALL
UNIT_TREBUCHET,UNITTYPE_LAND_COMBAT
UNIT_BOMBARD,UNITAI_COMBAT
UNIT_BOMBARD,UNITTYPE_RANGED
UNIT_BOMBARD,UNITTYPE_SIEGE
UNIT_BOMBARD,UNITTYPE_SIEGE_ALL
UNIT_BOMBARD,UNITTYPE_LAND_COMBAT
UNIT_ARTILLERY,UNITAI_COMBAT
UNIT_ARTILLERY,UNITTYPE_RANGED
UNIT_ARTILLERY,UNITTYPE_SIEGE
UNIT_ARTILLERY,UNITTYPE_SIEGE_ALL
UNIT_ARTILLERY,UNITTYPE_LAND_COMBAT
UNIT_ROCKET_ARTILLERY,UNITAI_COMBAT
UNIT_ROCKET_ARTILLERY,UNITTYPE_RANGED
UNIT_ROCKET_ARTILLERY,UNITTYPE_SIEGE
UNIT_ROCKET_ARTILLERY,UNITTYPE_SIEGE_ALL
UNIT_ROCKET_ARTILLERY,UNITTYPE_LAND_COMBAT
UNIT_HEAVY_CHARIOT,UNITAI_COMBAT
UNIT_HEAVY_CHARIOT,UNITTYPE_MELEE
UNIT_HEAVY_CHARIOT,UNITTYPE_CAVALRY
UNIT_HEAVY_CHARIOT,UNITTYPE_LAND_COMBAT
UNIT_KNIGHT,UNITAI_COMBAT
UNIT_KNIGHT,UNITTYPE_MELEE
UNIT_KNIGHT,UNITTYPE_CAVALRY
UNIT_KNIGHT,UNITTYPE_LAND_COMBAT
UNIT_TANK,UNITAI_COMBAT
UNIT_TANK,UNITTYPE_MELEE
UNIT_TANK,UNITTYPE_CAVALRY
UNIT_TANK,UNITTYPE_LAND_COMBAT
UNIT_MODERN_ARMOR,UNITAI_COMBAT
UNIT_MODERN_ARMOR,UNITTYPE_MELEE
UNIT_MODERN_ARMOR,UNITAI_EXPLORE
UNIT_MODERN_ARMOR,UNITTYPE_CAVALRY
UNIT_MODERN_ARMOR,UNITTYPE_LAND_COMBAT
UNIT_BATTERING_RAM,UNITTYPE_SIEGE_SUPPORT
