AiType,TypeValue,Priority
UNITAI_SETTLE,0.0,0
UNITAI_BUILD,1.0,0
UNITAI_EXPLORE,2.0,0
UNITAI_COMBAT,3.0,0
UNITAI_DEFENDER,4.0,0
UNITAI_LEADER,5.0,0
UNITTYPE_CAVALRY,,0
UNITTYPE_CIVILIAN,,0
UNITTYPE_CIVILIAN_LEADER,,0
UNITTYPE_LAND_COMBAT,,0
UNITTYPE_MELEE,,0
UNITTYPE_ANTI_CAVALRY,,0
UNITTYPE_NAVAL,,0
UNITTYPE_RANGED,,0
UNITTYPE_SIEGE,,0
UNITTYPE_SIEGE_ALL,,0
UNITTYPE_SIEGE_SUPPORT,,1
UNITTYPE_TRADE,,0
UNITTYPE_AIR,,0
UNITTYPE_AIR_SIEGE,,0
UNITTYPE_NUCLEAR,,0
UNITTYPE_NUCLEAR_ESCORT,,0
UNITTYPE_MAJOR_CIV_ONLY,,0
