CommandType,Description,Help,DisabledHelp,Icon,Sound,VisibleInUI,HoldCycling,CategoryInUI,InterfaceMode,PrereqTech,PrereqCivic,MaxEra,HotkeyId
UNITCOMMAND_PROMOTE,LOC_UNITCOMMAND_PROMOTE_DESCRIPTION,,,ICON_UNITCOMMAND_PROMOTE,,1,0,SPECIFIC,,,,-1,
UNITCOMMAND_UPGRADE,LOC_UNITCOMMAND_UPGRADE_DESCRIPTION,,,ICON_UNITCOMMAND_UPGRADE,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_AUTOMATE,LOC_UNITCOMMAND_AUTOMATE_DESCRIPTION,,,ICON_UNITCOMMAND_AUTOMATE,,0,0,SPECIFIC,,,,-1,
UNITCOMMAND_WAKE,LOC_UNITCOMMAND_WAKE_DESCRIPTION,,,ICON_UNITCOMMAND_WAKE,,1,0,INPLACE,,,,-1,
UNITCOMMAND_CANCEL,LOC_UNITCOMMAND_CANCEL_DESCRIPTION,,,ICON_UNITCOMMAND_CANCEL,,1,0,INPLACE,,,,-1,
UNITCOMMAND_STOP_AUTOMATION,LOC_UNITCOMMAND_STOP_AUTOMATION_DESCRIPTION,,,ICON_UNITCOMMAND_STOP_AUTOMATION,,1,0,INPLACE,,,,-1,
UNITCOMMAND_DELETE,LOC_UNITCOMMAND_DELETE_DESCRIPTION,,,ICON_UNITCOMMAND_DELETE,,1,0,SECONDARY,,,,-1,
UNITCOMMAND_GIFT,LOC_UNITCOMMAND_GIFT_DESCRIPTION,,,ICON_UNITCOMMAND_GIFT,,1,0,INPLACE,,,,-1,
UNITCOMMAND_ENTER_FORMATION,LOC_UNITCOMMAND_ENTER_FORMATION_DESCRIPTION,,,ICON_UNITCOMMAND_ENTER_FORMATION,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_EXIT_FORMATION,LOC_UNITCOMMAND_EXIT_FORMATION_DESCRIPTION,,,ICON_UNITCOMMAND_EXIT_FORMATION,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_ACTIVATE_GREAT_PERSON,LOC_UNITCOMMAND_ACTIVATE_GREAT_PERSON_DESCRIPTION,,,ICON_UNITCOMMAND_ACTIVATE_GREAT_PERSON,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_DISTRICT_PRODUCTION,LOC_UNITCOMMAND_DISTRICT_PRODUCTION_DESCRIPTION,,,ICON_UNITCOMMAND_DISTRICT_PRODUCTION,,1,1,SPECIFIC,,,,-1,
