OperationType,Description,Help,DisabledHelp,Icon,Sound,VisibleInUI,HoldCycling,CategoryInUI,InterfaceMode,PrereqTech,PrereqCivic,Turns,BaseProbability,LevelProbChange,EnemyProbChange,EnemyLevelProbChange,TargetDistrict,HotkeyId,Offensive
UNITOPERATION_AIR_ATTACK,LOC_UNITOPERATION_AIR_ATTACK_DESCRIPTION,,,ICON_UNITOPERATION_AIR_ATTACK,,1,1,ATTACK,INTERFACEMODE_AIR_ATTACK,,,0,0,0,0,0,,RangedAttack,0
UNITOPERATION_AUTOMATE_EXPLORE,LOC_UNITOPERATION_AUTOMATE_EXPLORE_DESCRIPTION,,,ICON_UNITOPERATION_AUTO_EXPLORE,,1,0,SECONDARY,,,,0,0,0,0,0,,AutoExplore,0
UNITOPERATION_BUILD_IMPROVEMENT,LOC_UNITOPERATION_BUILD_IMPROVEMENT_DESCRIPTION,,,ICON_UNITOPERATION_BUILD_IMPROVEMENT,,1,1,BUILD,,,,0,0,0,0,0,,,0
UNITOPERATION_BUILD_ROUTE,LOC_UNITOPERATION_BUILD_ROUTE_DESCRIPTION,,,ICON_UNITOPERATION_BUILD_ROUTE,,1,1,BUILD,,,,0,0,0,0,0,,,0
UNITOPERATION_CLEAR_CONTAMINATION,ICON_UNITOPERATION_CLEAR_CONTAMINATION_DESCRIPTION,,,ICON_UNITOPERATION_CLEAR_CONTAMINATION,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_CONVERT_BARBARIANS,LOC_UNITOPERATION_CONVERT_BARBARIANS_DESCRIPTION,,,ICON_UNITOPERATION_CONVERT_BARBARIANS,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_DEPLOY,LOC_UNITOPERATION_DEPLOY_DESCRIPTION,,,ICON_UNITOPERATION_DEPLOY,,1,1,MOVE,INTERFACEMODE_DEPLOY,,,0,0,0,0,0,,,0
UNITOPERATION_DESIGNATE_PARK,LOC_UNITOPERATION_DESIGNATE_PARK_DESCRIPTION,,,ICON_UNITOPERATION_DESIGNATE_PARK,,1,1,BUILD,,,,0,0,0,0,0,,,0
UNITOPERATION_DISEMBARK,LOC_UNITOPERATION_DISEMBARK_DESCRIPTION,,,ICON_UNITOPERATION_DISEMBARK,,0,0,MOVE,,,,0,0,0,0,0,,,0
UNITOPERATION_EMBARK,LOC_UNITOPERATION_EMBARK_DESCRIPTION,,,ICON_UNITOPERATION_EMBARK,,0,0,MOVE,,,,0,0,0,0,0,,,0
UNITOPERATION_EVANGELIZE_BELIEF,LOC_UNITOPERATION_EVANGELIZE_BELIEF_DESCRIPTION,,,ICON_UNITOPERATION_EVANGELIZE_BELIEF,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_EXCAVATE,LOC_UNITOPERATION_EXCAVATE_DESCRIPTION,,,ICON_UNITOPERATION_EXCAVATE,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_FORTIFY,LOC_UNITOPERATION_FORTIFY_DESCRIPTION,,,ICON_UNITOPERATION_FORTIFY,UNIT_FORTIFY,1,0,INPLACE,,,,0,0,0,0,0,,Fortify,0
UNITOPERATION_HEAL,LOC_UNITOPERATION_HEAL_DESCRIPTION,,,ICON_UNITOPERATION_HEAL,UNIT_FORTIFY,1,0,INPLACE,,,,0,0,0,0,0,,FortifyUntilHeal,0
UNITOPERATION_FOUND_CITY,LOC_UNITOPERATION_FOUND_CITY_DESCRIPTION,,,ICON_UNITOPERATION_FOUND_CITY,,1,1,SPECIFIC,,,,0,0,0,0,0,,FoundCity,0
UNITOPERATION_FOUND_RELIGION,LOC_UNITOPERATION_FOUND_RELIGION_DESCRIPTION,,,ICON_UNITOPERATION_FOUND_RELIGION,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_HARVEST_RESOURCE,LOC_UNITOPERATION_HARVEST_RESOURCE_DESCRIPTION,,,ICON_UNITOPERATION_HARVEST_RESOURCE,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_LAUNCH_INQUISITION,LOC_UNITOPERATION_LAUNCH_INQUISITION_DESCRIPTION,,,ICON_UNITOPERATION_LAUNCH_INQUISITION,,1,1,SPECIFIC,,,,0,0,0,0,0,,,0
UNITOPERATION_MAKE_TRADE_ROUTE,LOC_UNITOPERATION_MAKE_TRADE_ROUTE_DESCRIPTION,,,ICON_UNITOPERATION_MAKE_TRADE_ROUTE,,1,1,SPECIFIC,INTERFACEMODE_MAKE_TRADE_ROUTE,,,0,0,0,0,0,,,0
UNITOPERATION_MOVE_TO,LOC_UNITOPERATION_MOVE_TO_DESCRIPTION,,,ICON_UNITOPERATION_MOVE_TO,,1,0,MOVE,,,,0,0,0,0,0,,MoveTo,0
UNITOPERATION_MOVE_TO_UNIT,LOC_UNITOPERATION_MOVE_TO_UNIT_DESCRIPTION,,,ICON_UNITOPERATION_MOVE_TO_UNIT,,0,0,MOVE,,,,0,0,0,0,0,,,0
UNITOPERATION_WMD_STRIKE,LOC_UNITOPERATION_WMD_STRIKE_DESCRIPTION,,,ICON_UNITOPERATION_WMD_STRIKE,,1,1,ATTACK,INTERFACEMODE_WMD_STRIKE,,,0,0,0,0,0,,,0
UNITOPERATION_COASTAL_RAID,LOC_UNITOPERATION_COASTAL_RAID,,,ICON_UNITOPERATION_COASTAL_RAID,,1,1,ATTACK,INTERFACEMODE_COASTAL_RAID,,,0,0,0,0,0,,,0
UNITOPERATION_PILLAGE,LOC_UNITOPERATION_PILLAGE_DESCRIPTION,,,ICON_UNITOPERATION_PILLAGE,,1,1,ATTACK,,,,0,0,0,0,0,,,0
UNITOPERATION_PILLAGE_ROUTE,LOC_UNITOPERATION_PILLAGE_ROUTE_DESCRIPTION,,,ICON_UNITOPERATION_PILLAGE_ROUTE,UNIT_PLUNDERTRADE,1,1,ATTACK,,,,0,0,0,0,0,,,0
UNITOPERATION_PLANT_FOREST,LOC_UNITOPERATION_PLANT_FOREST_DESCRIPTION,,,ICON_UNITOPERATION_PLANT_FOREST,,1,1,BUILD,,,,0,0,0,0,0,,,0
UNITOPERATION_RANGE_ATTACK,LOC_UNITOPERATION_RANGE_ATTACK_DESCRIPTION,,,ICON_UNITOPERATION_RANGE_ATTACK,,1,1,ATTACK,INTERFACEMODE_RANGE_ATTACK,,,0,0,0,0,0,,RangedAttack,0
UNITOPERATION_REBASE,LOC_UNITOPERATION_REBASE_DESCRIPTION,,,ICON_UNITOPERATION_REBASE,,1,1,MOVE,INTERFACEMODE_REBASE,,,0,0,0,0,0,,,0
