PromotionClassType,Name
PROMOTION_CLASS_RECON,LOC_PROMOTION_CLASS_RECON_NAME
PROMOTION_CLASS_MELEE,LOC_PROMOTION_CLASS_MELEE_NAME
PROMOTION_CLASS_RANGED,LOC_PROMOTION_CLASS_RANGED_NAME
PROMOTION_CLASS_SIEGE,LOC_PROMOTION_CLASS_SIEGE_NAME
PROMOTION_CLASS_ANTI_CAVALRY,LOC_PROMOTION_CLASS_ANTI_CAVALRY_NAME
PROMOTION_CLASS_LIGHT_CAVALRY,LOC_PROMOTION_CLASS_LIGHT_CAVALRY_NAME
PROMOTION_CLASS_HEAVY_CAVALRY,LOC_PROMOTION_CLASS_HEAVY_CAVALRY_NAME
PROMOTION_CLASS_AIR_FIGHTER,LOC_PROMOTION_CLASS_AIR_FIGHTER_NAME
PROMOTION_CLASS_AIR_BOMBER,LOC_PROMOTION_CLASS_AIR_BOMBER_NAME
PROMOTION_CLASS_NAVAL_MELEE,LOC_PROMOTION_CLASS_NAVAL_MELEE_NAME
PROMOTION_CLASS_NAVAL_RANGED,LOC_PROMOTION_CLASS_NAVAL_RANGED_NAME
PROMOTION_CLASS_NAVAL_CARRIER,LOC_PROMOTION_CLASS_NAVAL_CARRIER_NAME
PROMOTION_CLASS_NAVAL_RAIDER,LOC_PROMOTION_CLASS_NAVAL_RAIDER_NAME
PROMOTION_CLASS_APOSTLE,LOC_PROMOTION_CLASS_APOSTLE_NAME
PROMOTION_CLASS_INQUISITOR,LOC_PROMOTION_CLASS_INQUISITOR_NAME
PROMOTION_CLASS_SUPPORT,LOC_PROMOTION_CLASS_SUPPORT_NAME
PROMOTION_CLASS_SPY,LOC_PROMOTION_CLASS_SPY_NAME
PROMOTION_CLASS_MONK,LOC_PROMOTION_CLASS_MONK_NAME
PROMOTION_CLASS_ROCK_BAND,LOC_PROMOTION_CLASS_ROCK_BAND_NAME
PROMOTION_CLASS_GIANT_DEATH_ROBOT,LOC_PROMOTION_CLASS_GIANT_DEATH_ROBOT_NAME
PROMOTION_CLASS_NIHANG,LOC_PROMOTION_CLASS_NIHANG_NAME
PROMOTION_CLASS_VAMPIRE,LOC_UNIT_VAMPIRE_NAME
