UnitPromotionType,ModifierId
PROMOTION_RANGER,RANGER_IGNORE_FOREST_MOVEMENT_PENALTY
PROMOTION_ALPINE,ALPINE_IGNORE_HILLS_MOVEMENT_PENALTY
PROMOTION_SENTRY,SENTRY_SEE_THROUGH_FEATURES
PROMOTION_GUERRILLA,FADE_BONUS_MOVE_AFTER_ATTACKING
PROMOTION_SPYGLASS,SPYGLASS_BONUS_SIGHT
PROMOTION_AMBUSH,AMBUSH_INCREASED_COMBAT_STRENGTH
PROMOTION_CAMOUFLAGE,CAMOUFLAGE_STEALTH
PROMOTION_BATTLECRY,BATTLECRY_BONUS_VS_MELEE_RANGED
PROMOTION_TORTOISE,TORTOISE_DEFENSE_BONUS_VS_RANGED_COMBAT
PROMOTION_COMMANDO,COMMANDO_BONUS_IGNORE_CLIFF_WALLS
PROMOTION_COMMANDO,COMMANDO_BONUS_MOVEMENT
PROMOTION_AMPHIBIOUS,AMPHIBIOUS_BONUS_IGNORE_RIVERS
PROMOTION_AMPHIBIOUS,AMPHIBIOUS_BONUS_IGNORE_SHORES
PROMOTION_ZWEIHANDER,ZWEIHANDER_BONUS_VS_ANTI_CAVALRY
PROMOTION_URBAN_WARFARE,URBAN_WARFARE_BONUS
PROMOTION_ELITE_GUARD,ELITE_GUARD_ADDITIONAL_ATTACK
PROMOTION_ELITE_GUARD,MOD_MOVE_AFTER_ATTACKING
PROMOTION_VOLLEY,VOLLEY_BONUS_VS_LAND_UNITS
PROMOTION_GARRISON,GARRISON_BONUS_DISTRICTS
PROMOTION_INCENDIARIES,INCENDIARIES_BONUS_VS_DISTRICT_DEFENSES
PROMOTION_SUPPRESSION,SUPPRESSION_BONUS_EXERT_ZOC
PROMOTION_ARROW_STORM,ARROW_STORM_BONUS_VS_LAND_AND_SEA_UNITS
PROMOTION_EMPLACEMENT,EMPLACEMENT_DEFENSE_BONUS_VS_CITIES
PROMOTION_EXPERT_MARKSMAN,EXPERT_MARKSMAN_ADDITIONAL_ATTACK
PROMOTION_ECHELON,ECHELON_ADDITIONAL_CAVALRY_BONUS
PROMOTION_THRUST,THRUST_BONUS_VS_MELEE
