UnitPromotion,PrereqUnitPromotion
PROMOTION_SENTRY,PROMOTION_RANGER
PROMOTION_SENTRY,PROMOTION_ALPINE
PROMOTION_GUERRILLA,PROMOTION_RANGER
PROMOTION_GUERRILLA,PROMOTION_ALPINE
PROMOTION_SPYGLASS,PROMOTION_SENTRY
PROMOTION_AMBUSH,PROMOTION_GUERRILLA
PROMOTION_CAMOUFLAGE,PROMOTION_SPYGLASS
PROMOTION_CAMOUFLAGE,PROMOTION_AMBUSH
PROMOTION_COMMANDO,PROMOTION_BATTLECRY
PROMOTION_COMMANDO,PROMOTION_AMPHIBIOUS
PROMOTION_AMPHIBIOUS,PROMOTION_TORTOISE
PROMOTION_AMPHIBIOUS,PROMOTION_COMMANDO
PROMOTION_ZWEIHANDER,PROMOTION_COMMANDO
PROMOTION_ZWEIHANDER,PROMOTION_AMPHIBIOUS
PROMOTION_URBAN_WARFARE,PROMOTION_COMMANDO
PROMOTION_URBAN_WARFARE,PROMOTION_AMPHIBIOUS
PROMOTION_ELITE_GUARD,PROMOTION_ZWEIHANDER
PROMOTION_ELITE_GUARD,PROMOTION_URBAN_WARFARE
PROMOTION_ARROW_STORM,PROMOTION_VOLLEY
PROMOTION_INCENDIARIES,PROMOTION_GARRISON
PROMOTION_SUPPRESSION,PROMOTION_INCENDIARIES
PROMOTION_SUPPRESSION,PROMOTION_ARROW_STORM
PROMOTION_EMPLACEMENT,PROMOTION_INCENDIARIES
PROMOTION_EMPLACEMENT,PROMOTION_ARROW_STORM
PROMOTION_EXPERT_MARKSMAN,PROMOTION_SUPPRESSION
PROMOTION_EXPERT_MARKSMAN,PROMOTION_EMPLACEMENT
PROMOTION_SHRAPNEL,PROMOTION_GRAPE_SHOT
PROMOTION_SHELLS,PROMOTION_CREW_WEAPONS
PROMOTION_ADVANCED_RANGEFINDING,PROMOTION_SHRAPNEL
PROMOTION_ADVANCED_RANGEFINDING,PROMOTION_SHELLS
PROMOTION_EXPERT_CREW,PROMOTION_SHRAPNEL
PROMOTION_EXPERT_CREW,PROMOTION_SHELLS
PROMOTION_FORWARD_OBSERVERS,PROMOTION_ADVANCED_RANGEFINDING
PROMOTION_FORWARD_OBSERVERS,PROMOTION_EXPERT_CREW
PROMOTION_SQUARE,PROMOTION_ECHELON
PROMOTION_SCHILTRON,PROMOTION_THRUST
PROMOTION_REDEPLOY,PROMOTION_SQUARE
PROMOTION_REDEPLOY,PROMOTION_SCHILTRON
PROMOTION_CHOKE_POINTS,PROMOTION_SQUARE
PROMOTION_CHOKE_POINTS,PROMOTION_SCHILTRON
PROMOTION_HOLD_THE_LINE,PROMOTION_REDEPLOY
PROMOTION_HOLD_THE_LINE,PROMOTION_CHOKE_POINTS
PROMOTION_DEPREDATION,PROMOTION_CAPARISON
