UnitPromotionType,Name,Description,Level,Specialization,PromotionClass,Column
PROMOTION_RANGER,LOC_PROMOTION_RANGER_NAME,LOC_PROMOTION_RANGER_DESCRIPTION,1,,PROMOTION_CLASS_RECON,1
PROMOTION_ALPINE,LOC_PROMOTION_ALPINE_NAME,LOC_PROMOTION_ALPINE_DESCRIPTION,1,,PROMOTION_CLASS_RECON,3
PROMOTION_SENTRY,LOC_PROMOTION_SENTRY_NAME,LOC_PROMOTION_SENTRY_DESCRIPTION,2,,PROMOTION_CLASS_RECON,1
PROMOTION_GUERRILLA,LOC_PROMOTION_GUERRILLA_NAME,LOC_PROMOTION_GUERRILLA_DESCRIPTION,2,,PROMOTION_CLASS_RECON,3
PROMOTION_SPYGLASS,LOC_PROMOTION_SPYGLASS_NAME,LOC_PROMOTION_SPYGLASS_DESCRIPTION,3,,PROMOTION_CLASS_RECON,1
PROMOTION_AMBUSH,LOC_PROMOTION_AMBUSH_NAME,LOC_PROMOTION_AMBUSH_DESCRIPTION,3,,PROMOTION_CLASS_RECON,3
PROMOTION_CAMOUFLAGE,LOC_PROMOTION_CAMOUFLAGE_NAME,LOC_PROMOTION_CAMOUFLAGE_DESCRIPTION,4,,PROMOTION_CLASS_RECON,2
PROMOTION_BATTLECRY,LOC_PROMOTION_BATTLECRY_NAME,LOC_PROMOTION_BATTLECRY_DESCRIPTION,1,,PROMOTION_CLASS_MELEE,1
PROMOTION_TORTOISE,LOC_PROMOTION_TORTOISE_NAME,LOC_PROMOTION_TORTOISE_DESCRIPTION,1,,PROMOTION_CLASS_MELEE,3
PROMOTION_COMMANDO,LOC_PROMOTION_COMMANDO_NAME,LOC_PROMOTION_COMMANDO_DESCRIPTION,2,,PROMOTION_CLASS_MELEE,1
PROMOTION_AMPHIBIOUS,LOC_PROMOTION_AMPHIBIOUS_NAME,LOC_PROMOTION_AMPHIBIOUS_DESCRIPTION,2,,PROMOTION_CLASS_MELEE,3
PROMOTION_ZWEIHANDER,LOC_PROMOTION_ZWEIHANDER_NAME,LOC_PROMOTION_ZWEIHANDER_DESCRIPTION,3,,PROMOTION_CLASS_MELEE,1
PROMOTION_URBAN_WARFARE,LOC_PROMOTION_URBAN_WARFARE_NAME,LOC_PROMOTION_URBAN_WARFARE_DESCRIPTION,3,,PROMOTION_CLASS_MELEE,3
PROMOTION_ELITE_GUARD,LOC_PROMOTION_ELITE_GUARD_NAME,LOC_PROMOTION_ELITE_GUARD_DESCRIPTION,4,,PROMOTION_CLASS_MELEE,2
PROMOTION_VOLLEY,LOC_PROMOTION_VOLLEY_NAME,LOC_PROMOTION_VOLLEY_DESCRIPTION,1,,PROMOTION_CLASS_RANGED,1
PROMOTION_GARRISON,LOC_PROMOTION_GARRISON_NAME,LOC_PROMOTION_GARRISON_DESCRIPTION,1,,PROMOTION_CLASS_RANGED,3
PROMOTION_ARROW_STORM,LOC_PROMOTION_ARROW_STORM_NAME,LOC_PROMOTION_ARROW_STORM_DESCRIPTION,2,,PROMOTION_CLASS_RANGED,1
PROMOTION_INCENDIARIES,LOC_PROMOTION_INCENDIARIES_NAME,LOC_PROMOTION_INCENDIARIES_DESCRIPTION,2,,PROMOTION_CLASS_RANGED,3
PROMOTION_SUPPRESSION,LOC_PROMOTION_SUPPRESSION_NAME,LOC_PROMOTION_SUPPRESSION_DESCRIPTION,3,,PROMOTION_CLASS_RANGED,1
PROMOTION_EMPLACEMENT,LOC_PROMOTION_EMPLACEMENT_NAME,LOC_PROMOTION_EMPLACEMENT_DESCRIPTION,3,,PROMOTION_CLASS_RANGED,3
PROMOTION_EXPERT_MARKSMAN,LOC_PROMOTION_EXPERT_MARKSMAN_NAME,LOC_PROMOTION_EXPERT_MARKSMAN_DESCRIPTION,4,,PROMOTION_CLASS_RANGED,2
PROMOTION_GRAPE_SHOT,LOC_PROMOTION_GRAPE_SHOT_NAME,LOC_PROMOTION_GRAPE_SHOT_DESCRIPTION,1,,PROMOTION_CLASS_SIEGE,1
PROMOTION_CREW_WEAPONS,LOC_PROMOTION_CREW_WEAPONS_NAME,LOC_PROMOTION_CREW_WEAPONS_DESCRIPTION,1,,PROMOTION_CLASS_SIEGE,3
PROMOTION_SHRAPNEL,LOC_PROMOTION_SHRAPNEL_NAME,LOC_PROMOTION_SHRAPNEL_DESCRIPTION,2,,PROMOTION_CLASS_SIEGE,1
PROMOTION_SHELLS,LOC_PROMOTION_SHELLS_NAME,LOC_PROMOTION_SHELLS_DESCRIPTION,2,,PROMOTION_CLASS_SIEGE,3
PROMOTION_ADVANCED_RANGEFINDING,LOC_PROMOTION_ADVANCED_RANGEFINDING_NAME,LOC_PROMOTION_ADVANCED_RANGEFINDING_DESCRIPTION,3,,PROMOTION_CLASS_SIEGE,1
PROMOTION_EXPERT_CREW,LOC_PROMOTION_EXPERT_CREW_NAME,LOC_PROMOTION_EXPERT_CREW_DESCRIPTION,3,,PROMOTION_CLASS_SIEGE,3
PROMOTION_FORWARD_OBSERVERS,LOC_PROMOTION_FORWARD_OBSERVERS_NAME,LOC_PROMOTION_FORWARD_OBSERVERS_DESCRIPTION,4,,PROMOTION_CLASS_SIEGE,2
PROMOTION_ECHELON,LOC_PROMOTION_ECHELON_NAME,LOC_PROMOTION_ECHELON_DESCRIPTION,1,,PROMOTION_CLASS_ANTI_CAVALRY,1
PROMOTION_THRUST,LOC_PROMOTION_THRUST_NAME,LOC_PROMOTION_THRUST_DESCRIPTION,1,,PROMOTION_CLASS_ANTI_CAVALRY,3
PROMOTION_SQUARE,LOC_PROMOTION_SQUARE_NAME,LOC_PROMOTION_SQUARE_DESCRIPTION,2,,PROMOTION_CLASS_ANTI_CAVALRY,1
PROMOTION_SCHILTRON,LOC_PROMOTION_SCHILTRON_NAME,LOC_PROMOTION_SCHILTRON_DESCRIPTION,2,,PROMOTION_CLASS_ANTI_CAVALRY,3
PROMOTION_REDEPLOY,LOC_PROMOTION_REDEPLOY_NAME,LOC_PROMOTION_REDEPLOY_DESCRIPTION,3,,PROMOTION_CLASS_ANTI_CAVALRY,1
PROMOTION_CHOKE_POINTS,LOC_PROMOTION_CHOKE_POINTS_NAME,LOC_PROMOTION_CHOKE_POINTS_DESCRIPTION,3,,PROMOTION_CLASS_ANTI_CAVALRY,3
PROMOTION_HOLD_THE_LINE,LOC_PROMOTION_HOLD_THE_LINE_NAME,LOC_PROMOTION_HOLD_THE_LINE_DESCRIPTION,4,,PROMOTION_CLASS_ANTI_CAVALRY,2
PROMOTION_CAPARISON,LOC_PROMOTION_CAPARISON_NAME,LOC_PROMOTION_CAPARISON_DESCRIPTION,1,,PROMOTION_CLASS_LIGHT_CAVALRY,1
PROMOTION_COURSERS,LOC_PROMOTION_COURSERS_NAME,LOC_PROMOTION_COURSERS_DESCRIPTION,1,,PROMOTION_CLASS_LIGHT_CAVALRY,3
PROMOTION_DEPREDATION,LOC_PROMOTION_DEPREDATION_NAME,LOC_PROMOTION_DEPREDATION_DESCRIPTION,2,,PROMOTION_CLASS_LIGHT_CAVALRY,1
PROMOTION_DOUBLE_ENVELOPMENT,LOC_PROMOTION_DOUBLE_ENVELOPMENT_NAME,LOC_PROMOTION_DOUBLE_ENVELOPMENT_DESCRIPTION,2,,PROMOTION_CLASS_LIGHT_CAVALRY,3
PROMOTION_SPIKING_THE_GUNS,LOC_PROMOTION_SPIKING_THE_GUNS_NAME,LOC_PROMOTION_SPIKING_THE_GUNS_DESCRIPTION,3,,PROMOTION_CLASS_LIGHT_CAVALRY,1
PROMOTION_PURSUIT,LOC_PROMOTION_PURSUIT_NAME,LOC_PROMOTION_PURSUIT_DESCRIPTION,3,,PROMOTION_CLASS_LIGHT_CAVALRY,3
PROMOTION_ESCORT_MOBILITY,LOC_PROMOTION_ESCORT_MOBILITY_NAME,LOC_PROMOTION_ESCORT_MOBILITY_DESCRIPTION,4,,PROMOTION_CLASS_LIGHT_CAVALRY,2
PROMOTION_CHARGE,LOC_PROMOTION_CHARGE_NAME,LOC_PROMOTION_CHARGE_DESCRIPTION,1,,PROMOTION_CLASS_HEAVY_CAVALRY,1
PROMOTION_BARDING,LOC_PROMOTION_BARDING_NAME,LOC_PROMOTION_BARDING_DESCRIPTION,1,,PROMOTION_CLASS_HEAVY_CAVALRY,3
PROMOTION_MARAUDING,LOC_PROMOTION_MARAUDING_NAME,LOC_PROMOTION_MARAUDING_DESCRIPTION,2,,PROMOTION_CLASS_HEAVY_CAVALRY,1
PROMOTION_ROUT,LOC_PROMOTION_ROUT_NAME,LOC_PROMOTION_ROUT_DESCRIPTION,2,,PROMOTION_CLASS_HEAVY_CAVALRY,3
