CivUniqueUnitType,ReplacesUnitType
UNIT_GREEK_HOPLITE,UNIT_SPEARMAN
UNIT_SPANISH_CONQUISTADOR,UNIT_MUSKETMAN
UNIT_ROMAN_LEGION,UNIT_SWORDSMAN
UNIT_JAPANESE_SAMURAI,UNIT_MAN_AT_ARMS
UNIT_NORWEGIAN_LONGSHIP,UNIT_GALLEY
UNIT_NORWEGIAN_BERSERKER,UNIT_MAN_AT_ARMS
UNIT_RUSSIAN_COSSACK,UNIT_CAVALRY
UNIT_ARABIAN_MAMLUK,UNIT_KNIGHT
UNIT_FRENCH_GARDE_IMPERIALE,UNIT_LINE_INFANTRY
UNIT_ENGLISH_REDCOAT,UNIT_LINE_INFANTRY
UNIT_KONGO_SHIELD_BEARER,UNIT_SWORDSMAN
UNIT_ENGLISH_SEADOG,UNIT_PRIVATEER
UNIT_GERMAN_UBOAT,UNIT_SUBMARINE
UNIT_AMERICAN_P51,UNIT_FIGHTER
UNIT_BRAZILIAN_MINAS_GERAES,UNIT_BATTLESHIP
UNIT_AZTEC_EAGLE_WARRIOR,UNIT_WARRIOR
UNIT_INDONESIAN_JONG,UNIT_FRIGATE
UNIT_KHMER_DOMREY,UNIT_TREBUCHET
UNIT_POLISH_HUSSAR,UNIT_CUIRASSIER
UNIT_NUBIAN_PITATI,UNIT_ARCHER
UNIT_MACEDONIAN_HYPASPIST,UNIT_SWORDSMAN
UNIT_MACEDONIAN_HETAIROI,UNIT_HORSEMAN
UNIT_PERSIAN_IMMORTAL,UNIT_SWORDSMAN
UNIT_DIGGER,UNIT_INFANTRY
UNIT_ZULU_IMPI,UNIT_PIKEMAN
UNIT_SCOTTISH_HIGHLANDER,UNIT_RANGER
UNIT_DE_ZEVEN_PROVINCIEN,UNIT_FRIGATE
UNIT_CREE_OKIHTCITAW,UNIT_SCOUT
UNIT_KOREAN_HWACHA,UNIT_FIELD_CANNON
UNIT_GEORGIAN_KHEVSURETI,UNIT_MAN_AT_ARMS
UNIT_HUNGARY_BLACK_ARMY,UNIT_COURSER
UNIT_HUNGARY_HUSZAR,UNIT_CAVALRY
UNIT_INCA_WARAKAQ,UNIT_SKIRMISHER
UNIT_MALI_MANDEKALU_CAVALRY,UNIT_KNIGHT
UNIT_MAORI_TOA,UNIT_SWORDSMAN
UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PRIVATEER
UNIT_PHOENICIA_BIREME,UNIT_GALLEY
UNIT_SULEIMAN_JANISSARY,UNIT_MUSKETMAN
UNIT_SWEDEN_CAROLEAN,UNIT_PIKE_AND_SHOT
UNIT_AMERICAN_ROUGH_RIDER,UNIT_CUIRASSIER
UNIT_MAYAN_HULCHE,UNIT_ARCHER
UNIT_COLOMBIAN_LLANERO,UNIT_CAVALRY
UNIT_BYZANTINE_DROMON,UNIT_QUADRIREME
UNIT_BYZANTINE_TAGMA,UNIT_KNIGHT
UNIT_GAUL_GAESATAE,UNIT_WARRIOR
UNIT_VIETNAMESE_VOI_CHIEN,UNIT_CROSSBOWMAN
UNIT_ETHIOPIAN_OROMO_CAVALRY,UNIT_COURSER
UNIT_PORTUGUESE_NAU,UNIT_CARAVEL
