Unit,UpgradeUnit
UNIT_SCOUT,UNIT_SKIRMISHER
UNIT_WARRIOR,UNIT_SWORDSMAN
UNIT_SWORDSMAN,UNIT_MAN_AT_ARMS
UNIT_MAN_AT_ARMS,UNIT_MUSKETMAN
UNIT_MUSKETMAN,UNIT_LINE_INFANTRY
UNIT_LINE_INFANTRY,UNIT_INFANTRY
UNIT_SPEARMAN,UNIT_PIKEMAN
UNIT_PIKEMAN,UNIT_PIKE_AND_SHOT
UNIT_AT_CREW,UNIT_MODERN_AT
UNIT_INFANTRY,UNIT_MECHANIZED_INFANTRY
UNIT_SLINGER,UNIT_ARCHER
UNIT_ARCHER,UNIT_CROSSBOWMAN
UNIT_CROSSBOWMAN,UNIT_FIELD_CANNON
UNIT_FIELD_CANNON,UNIT_MACHINE_GUN
UNIT_HORSEMAN,UNIT_COURSER
UNIT_CAVALRY,UNIT_HELICOPTER
UNIT_CATAPULT,UNIT_TREBUCHET
UNIT_TREBUCHET,UNIT_BOMBARD
UNIT_BOMBARD,UNIT_ARTILLERY
UNIT_ARTILLERY,UNIT_ROCKET_ARTILLERY
UNIT_ANTIAIR_GUN,UNIT_MOBILE_SAM
UNIT_BATTERING_RAM,UNIT_SIEGE_TOWER
UNIT_SIEGE_TOWER,UNIT_MEDIC
UNIT_HEAVY_CHARIOT,UNIT_KNIGHT
UNIT_KNIGHT,UNIT_CUIRASSIER
UNIT_TANK,UNIT_MODERN_ARMOR
UNIT_GALLEY,UNIT_CARAVEL
UNIT_QUADRIREME,UNIT_FRIGATE
UNIT_CARAVEL,UNIT_IRONCLAD
UNIT_IRONCLAD,UNIT_DESTROYER
UNIT_PRIVATEER,UNIT_SUBMARINE
UNIT_FRIGATE,UNIT_BATTLESHIP
UNIT_BATTLESHIP,UNIT_MISSILE_CRUISER
UNIT_SUBMARINE,UNIT_NUCLEAR_SUBMARINE
UNIT_BIPLANE,UNIT_FIGHTER
UNIT_FIGHTER,UNIT_JET_FIGHTER
UNIT_BOMBER,UNIT_JET_BOMBER
UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_CROSSBOWMAN
UNIT_GREEK_HOPLITE,UNIT_PIKEMAN
UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_CROSSBOWMAN
UNIT_SUMERIAN_WAR_CART,UNIT_KNIGHT
UNIT_ENGLISH_REDCOAT,UNIT_INFANTRY
UNIT_ENGLISH_SEADOG,UNIT_SUBMARINE
UNIT_SPANISH_CONQUISTADOR,UNIT_LINE_INFANTRY
UNIT_ROMAN_LEGION,UNIT_MAN_AT_ARMS
UNIT_JAPANESE_SAMURAI,UNIT_MUSKETMAN
UNIT_NORWEGIAN_BERSERKER,UNIT_MUSKETMAN
UNIT_NORWEGIAN_LONGSHIP,UNIT_CARAVEL
UNIT_RUSSIAN_COSSACK,UNIT_HELICOPTER
UNIT_INDIAN_VARU,UNIT_CUIRASSIER
UNIT_ARABIAN_MAMLUK,UNIT_CUIRASSIER
UNIT_KONGO_SHIELD_BEARER,UNIT_MAN_AT_ARMS
UNIT_FRENCH_GARDE_IMPERIALE,UNIT_INFANTRY
UNIT_GERMAN_UBOAT,UNIT_NUCLEAR_SUBMARINE
UNIT_AMERICAN_P51,UNIT_JET_FIGHTER
UNIT_BRAZILIAN_MINAS_GERAES,UNIT_MISSILE_CRUISER
UNIT_CHINESE_CROUCHING_TIGER,UNIT_FIELD_CANNON
UNIT_AZTEC_EAGLE_WARRIOR,UNIT_SWORDSMAN
UNIT_KHMER_DOMREY,UNIT_BOMBARD
UNIT_INDONESIAN_JONG,UNIT_BATTLESHIP
UNIT_POLISH_HUSSAR,UNIT_TANK
UNIT_NUBIAN_PITATI,UNIT_CROSSBOWMAN
UNIT_MACEDONIAN_HYPASPIST,UNIT_MAN_AT_ARMS
UNIT_MACEDONIAN_HETAIROI,UNIT_KNIGHT
UNIT_PERSIAN_IMMORTAL,UNIT_MAN_AT_ARMS
UNIT_DIGGER,UNIT_MECHANIZED_INFANTRY
UNIT_ZULU_IMPI,UNIT_PIKE_AND_SHOT
UNIT_KOREAN_HWACHA,UNIT_MACHINE_GUN
UNIT_SCOTTISH_HIGHLANDER,UNIT_SPEC_OPS
UNIT_DE_ZEVEN_PROVINCIEN,UNIT_BATTLESHIP
UNIT_MONGOLIAN_KESHIG,UNIT_FIELD_CANNON
UNIT_GEORGIAN_KHEVSURETI,UNIT_MUSKETMAN
UNIT_MAPUCHE_MALON_RAIDER,UNIT_CAVALRY
UNIT_CREE_OKIHTCITAW,UNIT_SKIRMISHER
UNIT_RANGER,UNIT_SPEC_OPS
UNIT_OBSERVATION_BALLOON,UNIT_DRONE
UNIT_MEDIC,UNIT_SUPPLY_CONVOY
UNIT_PIKE_AND_SHOT,UNIT_AT_CREW
UNIT_SKIRMISHER,UNIT_RANGER
UNIT_COURSER,UNIT_CAVALRY
UNIT_CUIRASSIER,UNIT_TANK
UNIT_HUNGARY_BLACK_ARMY,UNIT_CAVALRY
UNIT_HUNGARY_HUSZAR,UNIT_HELICOPTER
UNIT_INCA_WARAKAQ,UNIT_RANGER
UNIT_MALI_MANDEKALU_CAVALRY,UNIT_CUIRASSIER
UNIT_MAORI_TOA,UNIT_MAN_AT_ARMS
UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_SUBMARINE
UNIT_PHOENICIA_BIREME,UNIT_CARAVEL
UNIT_SULEIMAN_JANISSARY,UNIT_LINE_INFANTRY
UNIT_SWEDEN_CAROLEAN,UNIT_AT_CREW
UNIT_AMERICAN_ROUGH_RIDER,UNIT_TANK
UNIT_MAYAN_HULCHE,UNIT_CROSSBOWMAN
UNIT_COLOMBIAN_LLANERO,UNIT_HELICOPTER
UNIT_BYZANTINE_DROMON,UNIT_FRIGATE
UNIT_BYZANTINE_TAGMA,UNIT_CUIRASSIER
UNIT_GAUL_GAESATAE,UNIT_MAN_AT_ARMS
UNIT_VIETNAMESE_VOI_CHIEN,UNIT_FIELD_CANNON
UNIT_ETHIOPIAN_OROMO_CAVALRY,UNIT_CAVALRY
UNIT_BABYLONIAN_SABUM_KIBITTUM,UNIT_SWORDSMAN
UNIT_PORTUGUESE_NAU,UNIT_IRONCLAD
