Unit,PrereqBuilding,NumSupported
UNIT_MISSIONARY,BUILDING_SHRINE,-1
UNIT_APOSTLE,BUILDING_TEMPLE,-1
UNIT_APOSTLE,BUILDING_STAVE_CHURCH,-1
UNIT_INQUISITOR,BUILDING_TEMPLE,-1
UNIT_INQUISITOR,BUILDING_STAVE_CHURCH,-1
UNIT_WARRIOR_MONK,BUILDING_TEMPLE,-1
UNIT_WARRIOR_MONK,BUILDING_STAVE_CHURCH,-1
UNIT_GURU,BUILDING_TEMPLE,-1
UNIT_GURU,BUILDING_STAVE_CHURCH,-1
UNIT_MILITARY_ENGINEER,BUILDING_ARMORY,-1
UNIT_ARCHAEOLOGIST,BUILDING_MUSEUM_ARTIFACT,1
UNIT_APOSTLE,BUILDING_PRASAT,-1
UNIT_INQUISITOR,BUILDING_PRASAT,-1
UNIT_WARRIOR_MONK,BUILDING_PRASAT,-1
UNIT_GURU,BUILDING_PRASAT,-1
