UnitType,Name,BaseSightRange,BaseMoves,Combat,RangedCombat,Range,Bombard,Domain,FormationClass,Cost,PopulationCost,FoundCity,FoundReligion,MakeTradeRoute,EvangelizeBelief,LaunchInquisition,RequiresInquisition,BuildCharges,ReligiousStrength,ReligionEvictPercent,SpreadCharges,ReligiousHealCharges,ExtractsArtifacts,Description,Flavor,CanCapture,CanRetreatWhenCaptured,TraitType,AllowBarbarians,CostProgressionModel,CostProgressionParam1,PromotionClass,InitialLevel,NumRandomChoices,PrereqTech,PrereqCivic,PrereqDistrict,PrereqPopulation,LeaderType,CanTrain,StrategicResource,PurchaseYield,MustPurchase,Maintenance,Stackable,AirSlots,CanTargetAir,PseudoYieldType,ZoneOfControl,AntiAirCombat,Spy,WMDCapable,ParkCharges,IgnoreMoves,TeamVisibility,ObsoleteTech,ObsoleteCivic,MandatoryObsoleteTech,MandatoryObsoleteCivic,AdvisorType,EnabledByReligion,TrackReligion,DisasterCharges,UseMaxMeleeTrainedStrength,ImmediatelyName,CanEarnExperience
UNIT_SETTLER,LOC_UNIT_SETTLER_NAME,3,2,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,80,1.0,1,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SETTLER_DESCRIPTION,,0,0,,0,COST_PROGRESSION_PREVIOUS_COPIES,30,,1,0,,,,2.0,,1,,YIELD_GOLD,0,0,0,0,0,PSEUDOYIELD_UNIT_SETTLER,0,0,0,0,0,0,0,,,,,ADVISOR_GENERIC,0,0,0,0,0,1
UNIT_BUILDER,LOC_UNIT_BUILDER_NAME,2,2,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,50,,0,0,0,0,0,0,3,0,0,0,0,0,LOC_UNIT_BUILDER_DESCRIPTION,,0,0,,0,COST_PROGRESSION_PREVIOUS_COPIES,4,,1,0,,,,,,1,,YIELD_GOLD,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,ADVISOR_GENERIC,0,0,0,0,0,1
UNIT_TRADER,LOC_UNIT_TRADER_NAME,2,2,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,40,,0,0,1,0,0,0,0,0,0,0,0,0,LOC_UNIT_TRADER_DESCRIPTION,,0,0,,0,COST_PROGRESSION_GAME_PROGRESS,400,,1,0,,CIVIC_FOREIGN_TRADE,,,,1,,YIELD_GOLD,0,0,0,0,0,PSEUDOYIELD_UNIT_TRADE,0,0,0,0,0,1,0,,,,,ADVISOR_GENERIC,0,0,0,0,0,1
UNIT_MISSIONARY,LOC_UNIT_MISSIONARY_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,75,,0,0,0,0,0,0,0,100,10,3,0,0,LOC_UNIT_MISSIONARY_DESCRIPTION,,0,0,,0,COST_PROGRESSION_PREVIOUS_COPIES,6,,1,0,,,,,,1,,YIELD_FAITH,1,0,0,0,0,PSEUDOYIELD_UNIT_RELIGIOUS,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,1
UNIT_APOSTLE,LOC_UNIT_APOSTLE_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,200,,0,0,0,1,1,0,0,110,25,3,0,0,LOC_UNIT_APOSTLE_DESCRIPTION,,0,0,,0,COST_PROGRESSION_PREVIOUS_COPIES,15,PROMOTION_CLASS_APOSTLE,2,3,,,,,,1,,YIELD_FAITH,1,0,0,0,0,PSEUDOYIELD_UNIT_RELIGIOUS,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,1
UNIT_INQUISITOR,LOC_UNIT_INQUISITOR_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,75,,0,0,0,0,0,1,0,75,75,3,0,0,LOC_UNIT_INQUISITOR_EXPANSION2_DESCRIPTION,,0,0,,0,COST_PROGRESSION_PREVIOUS_COPIES,6,PROMOTION_CLASS_INQUISITOR,1,0,,,,,,1,,YIELD_FAITH,1,0,0,0,0,PSEUDOYIELD_UNIT_RELIGIOUS,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,1
UNIT_GURU,LOC_UNIT_GURU_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,120,,0,0,0,0,0,0,0,90,0,0,3,0,LOC_UNIT_GURU_DESCRIPTION,,0,0,,0,COST_PROGRESSION_PREVIOUS_COPIES,12,,1,0,,,,,,1,,YIELD_FAITH,1,0,0,0,0,PSEUDOYIELD_UNIT_RELIGIOUS,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,1
UNIT_WARRIOR_MONK,LOC_UNIT_WARRIOR_MONK_NAME,2,3,40,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,100,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_WARRIOR_MONK_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_MONK,1,0,,,,,,1,,YIELD_FAITH,1,2,0,0,0,,1,0,0,0,0,0,0,,,,,,1,1,0,0,0,1
UNIT_ARCHAEOLOGIST,LOC_UNIT_ARCHAEOLOGIST_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,400,,0,0,0,0,0,0,0,0,0,0,0,1,LOC_UNIT_ARCHAEOLOGIST_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,CIVIC_NATURAL_HISTORY,,,,1,,YIELD_GOLD,0,0,0,0,0,PSEUDOYIELD_UNIT_ARCHAEOLOGIST,0,0,0,0,0,0,0,,,,,ADVISOR_CULTURE,0,0,0,0,0,1
UNIT_GREAT_GENERAL,LOC_UNIT_GREAT_GENERAL_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,1,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_GENERAL_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
