UnitType,ResourceMaintenanceAmount,ResourceCost,ResourceMaintenanceType,TourismBomb,CanEarnExperience,TourismBombPossible,CanFormMilitaryFormation,MajorCivOnly,CanCauseDisasters,CanSacrificeUnits
UNIT_POLISH_HUSSAR,0,10,,0,1,0,1,0,0,0
UNIT_MACEDONIAN_HYPASPIST,0,5,,0,1,0,1,0,0,0
UNIT_MACEDONIAN_HETAIROI,0,10,,0,1,0,1,0,0,0
UNIT_PERSIAN_IMMORTAL,0,10,,0,1,0,1,0,0,0
UNIT_GEORGIAN_KHEVSURETI,0,10,,0,1,0,1,0,0,0
UNIT_MONGOLIAN_KESHIG,0,10,,0,1,0,1,0,0,0
UNIT_DE_ZEVEN_PROVINCIEN,0,10,,0,1,0,1,0,0,0
UNIT_SETTLER,0,0,,0,0,0,0,0,0,0
UNIT_BUILDER,0,0,,0,0,0,0,0,0,0
UNIT_TRADER,0,0,,0,0,0,0,0,0,0
UNIT_MISSIONARY,0,0,,0,0,0,0,0,0,0
UNIT_APOSTLE,0,0,,0,0,0,0,0,0,0
UNIT_INQUISITOR,0,0,,0,0,0,0,0,0,0
UNIT_GURU,0,0,,0,0,0,0,0,0,0
UNIT_ARCHAEOLOGIST,0,0,,0,0,0,0,0,0,0
UNIT_SPY,0,0,,0,1,0,0,0,0,0
UNIT_NATURALIST,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_GENERAL,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_ADMIRAL,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_ENGINEER,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_MERCHANT,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_PROPHET,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_SCIENTIST,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_WRITER,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_ARTIST,0,0,,0,0,0,0,0,0,0
UNIT_GREAT_MUSICIAN,0,0,,0,0,0,0,0,0,0
UNIT_BATTERING_RAM,0,0,,0,0,0,0,0,0,0
UNIT_SIEGE_TOWER,0,0,,0,0,0,0,0,0,0
UNIT_MEDIC,0,0,,0,0,0,0,0,0,0
UNIT_OBSERVATION_BALLOON,0,0,,0,0,0,0,0,0,0
UNIT_MILITARY_ENGINEER,0,0,,0,0,0,0,0,0,0
UNIT_ANTIAIR_GUN,0,0,,0,0,0,0,0,0,0
UNIT_MOBILE_SAM,0,0,,0,0,0,0,0,0,0
UNIT_DRONE,0,0,,0,0,0,0,0,0,0
UNIT_SUPPLY_CONVOY,0,0,,0,0,0,0,0,0,0
UNIT_SWORDSMAN,0,20,,0,1,0,1,0,0,0
UNIT_CATAPULT,0,20,,0,1,0,1,0,0,0
UNIT_HORSEMAN,0,20,,0,1,0,1,0,0,0
UNIT_KNIGHT,0,20,,0,1,0,1,0,0,0
UNIT_MUSKETMAN,0,20,,0,1,0,1,0,0,0
UNIT_BOMBARD,0,20,,0,1,0,1,0,0,0
UNIT_FRIGATE,0,20,,0,1,0,1,0,0,0
UNIT_COURSER,0,20,,0,1,0,1,0,0,0
UNIT_CUIRASSIER,0,20,,0,1,0,1,0,0,0
UNIT_CAVALRY,0,20,,0,1,0,1,0,0,0
UNIT_IRONCLAD,1,1,RESOURCE_COAL,0,1,0,1,0,0,0
UNIT_BATTLESHIP,1,1,RESOURCE_COAL,0,1,0,1,0,0,0
UNIT_INFANTRY,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_ARTILLERY,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_TANK,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_DESTROYER,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_BIPLANE,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_SUBMARINE,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_FIGHTER,1,1,RESOURCE_ALUMINUM,0,1,0,1,0,0,0
UNIT_BOMBER,1,1,RESOURCE_ALUMINUM,0,1,0,1,0,0,0
UNIT_HELICOPTER,1,1,RESOURCE_ALUMINUM,0,1,0,1,0,0,0
UNIT_MECHANIZED_INFANTRY,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_MODERN_ARMOR,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_ROCKET_ARTILLERY,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_JET_FIGHTER,1,1,RESOURCE_ALUMINUM,0,1,0,1,0,0,0
UNIT_JET_BOMBER,1,1,RESOURCE_ALUMINUM,0,1,0,1,0,0,0
UNIT_MISSILE_CRUISER,1,1,RESOURCE_OIL,0,1,0,1,0,0,0
UNIT_GIANT_DEATH_ROBOT,3,1,RESOURCE_URANIUM,0,0,0,0,1,0,0
UNIT_ROCK_BAND,0,0,,0,0,1,1,0,0,0
UNIT_MAN_AT_ARMS,0,20,,0,1,0,1,0,0,0
UNIT_LINE_INFANTRY,0,20,,0,1,0,1,0,0,0
UNIT_ROMAN_LEGION,0,10,,0,1,0,1,0,0,0
UNIT_KONGO_SHIELD_BEARER,0,5,,0,1,0,1,0,0,0
UNIT_JAPANESE_SAMURAI,0,10,,0,1,0,1,0,0,0
UNIT_NORWEGIAN_BERSERKER,0,10,,0,1,0,1,0,0,0
UNIT_ARABIAN_MAMLUK,0,10,,0,1,0,1,0,0,0
UNIT_SPANISH_CONQUISTADOR,0,10,,0,1,0,1,0,0,0
UNIT_ENGLISH_REDCOAT,0,10,,0,1,0,1,0,0,0
UNIT_FRENCH_GARDE_IMPERIALE,0,10,,0,1,0,1,0,0,0
UNIT_BRAZILIAN_MINAS_GERAES,1,1,RESOURCE_COAL,0,1,0,1,0,0,0
UNIT_AMERICAN_P51,1,1,RESOURCE_ALUMINUM,0,1,0,1,0,0,0
UNIT_HUNGARY_BLACK_ARMY,0,10,,0,1,0,1,0,0,0
UNIT_HUNGARY_HUSZAR,0,10,,0,1,0,1,0,0,0
UNIT_RUSSIAN_COSSACK,0,10,,0,1,0,1,0,0,0
UNIT_MALI_MANDEKALU_CAVALRY,0,10,,0,1,0,1,0,0,0
