WarType,Name,Description
SURPRISE_WAR,LOC_SURPRISE_WAR_NAME,
FORMAL_WAR,LOC_FORMAL_WAR_NAME,
HOLY_WAR,LOC_HOLY_WAR_NAME,
RECONQUEST_WAR,LOC_RECONQUEST_WAR_NAME,
LIBERATION_WAR,LOC_LIBERATION_WAR_NAME,
DEFENSIVE_PACT,LOC_DEFENSIVE_PACT_NAME,
JOINT_WAR,LOC_JOINT_WAR_NAME,
SUZERAIN_WAR,LOC_SUZERAIN_WAR_NAME,
PROTECTORATE_WAR,LOC_PROTECTORATE_WAR_NAME,
COLONIAL_WAR,LOC_COLONIAL_WAR_NAME,
TERRITORIAL_WAR,LOC_TERRITORIAL_WAR_NAME,
GOLDEN_AGE_WAR,LOC_GOLDEN_AGE_NAME,
EMERGENCY_WAR,LOC_EMERGENCY_WAR_NAME,
WAR_OF_RETRIBUTION,LOC_WAR_OF_RETRIBUTION_NAME,
IDEOLOGICAL_WAR,LOC_IDEOLOGICAL_WAR_NAME,
