EffectType,Name,Description,ArgumentType,DefaultValue,Required,DatabaseKind
EFFECT_ADD_CULTURE_BOMB_TRIGGER,CaptureOwnedTerritory,,,,,
EFFECT_ADD_CULTURE_BOMB_TRIGGER,DistrictType,,,,,
EFFECT_ADD_CULTURE_BOMB_TRIGGER,ImprovementType,,,,,
EFFECT_ADD_DIPLOMATIC_ACTION_OVERRIDE,CivicType,,,,,
EFFECT_ADD_DIPLOMATIC_ACTION_OVERRIDE,DiplomaticAction,,,,,
EFFECT_ADD_DIPLOMATIC_COMBAT_MODIFIER,Amount,,,,,
EFFECT_ADD_DIPLOMATIC_COMBAT_MODIFIER,DiplomaticYieldSource,,,,,
EFFECT_ADD_DIPLOMATIC_COMBAT_MODIFIER,ReligiousOnly,,,,,
EFFECT_ADD_DIPLOMATIC_COMBAT_MODIFIER,TurnsActive,,,,,
EFFECT_ADD_DIPLOMATIC_MOVEMENT_MODIFIER,Amount,,,,,
EFFECT_ADD_DIPLOMATIC_MOVEMENT_MODIFIER,DiplomaticYieldSource,,,,,
EFFECT_ADD_DIPLOMATIC_MOVEMENT_MODIFIER,TurnsActive,,,,,
EFFECT_ADD_DIPLOMATIC_YIELD_MODIFIER,Amount,,,,,
EFFECT_ADD_DIPLOMATIC_YIELD_MODIFIER,DiplomaticYieldSource,,,,,
EFFECT_ADD_DIPLOMATIC_YIELD_MODIFIER,StackWithOtherDiploYieldModifiers,,,,,
EFFECT_ADD_DIPLOMATIC_YIELD_MODIFIER,TurnsActive,,,,,
EFFECT_ADD_DIPLOMATIC_YIELD_MODIFIER,YieldType,,,,,
EFFECT_ADD_DIPLO_VISIBILITY,Amount,,,,,
EFFECT_ADD_DIPLO_VISIBILITY,Source,,,,,
EFFECT_ADD_DIPLO_VISIBILITY,SourceType,,,,,
EFFECT_ADD_EXPENDED_GREAT_PERSON_TILES,Amount,,,,,
EFFECT_ADD_PLAYER_BELIEF_YIELD,Amount,,,,,
EFFECT_ADD_PLAYER_BELIEF_YIELD,BeliefYieldType,,,,,
EFFECT_ADD_PLAYER_BELIEF_YIELD,PerXItems,,,,,
EFFECT_ADD_PLAYER_BELIEF_YIELD,YieldType,,,,,
EFFECT_ADD_PLAYER_FAVOR,Amount,,,,,
EFFECT_ADD_PLAYER_PROJECT_AVAILABILITY,ProjectType,,,,,
EFFECT_ADD_PLAYER_SEQUESTERED_CARBON,Amount,,,,,
EFFECT_ADD_PLAYER_UPGRADE_MILITARY_FORMATION_ON_CITY_CONQUEST,,,,,,
EFFECT_ADD_RELIGIOUS_BELIEF_YIELD,Amount,,,,,
EFFECT_ADD_RELIGIOUS_BELIEF_YIELD,BeliefYieldType,,,,,
EFFECT_ADD_RELIGIOUS_BELIEF_YIELD,DistrictType,,,,,
EFFECT_ADD_RELIGIOUS_BELIEF_YIELD,PerXItems,,,,,
EFFECT_ADD_RELIGIOUS_BELIEF_YIELD,YieldType,,,,,
EFFECT_ADD_RELIGIOUS_BUILDING,BuildingType,,,,,
EFFECT_ADD_RELIGIOUS_BUILDING_MULTIPLIER,Founder,,,,,
EFFECT_ADD_RELIGIOUS_BUILDING_MULTIPLIER,Multiplier,,,,,
EFFECT_ADD_RELIGIOUS_BUILDING_MULTIPLIER,YieldType,,,,,
EFFECT_ADD_RELIGIOUS_UNIT,UnitType,,,,,
EFFECT_ADJUST_ADDITIONAL_PILLAGING,Amount,,,,,
EFFECT_ADJUST_ADDITIONAL_PILLAGING,ImprovementType,,,,,
EFFECT_ADJUST_ADDITIONAL_PILLAGING,PlunderType,,,,,
EFFECT_ADJUST_ADD_AMENITY_PER_ADJACENT_LUXURY,AddAmenity,,,,,
EFFECT_ADJUST_ADJACENT_CITY_RIVER_BUILDING_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_ADJACENT_CITY_RIVER_DISTRICT_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_ADJACENT_LEVIED_UNIT_COMBAT_BONUS,Amount,,,,,
EFFECT_ADJUST_ALLIANCE_PLAYER_STRENGTH_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ALLIANCE_POINTS_FOR_COMMON_ENEMY_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ALLIANCE_POINTS_FOR_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ALLIANCE_POINTS_FOR_TRADE_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ALL_BUILDINGS_PURCHASE_COST,Amount,,,,,
EFFECT_ADJUST_ALL_BUILDING_PRODUCTION_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ALL_BUILDING_PRODUCTION_MODIFIER,IsWonder,,,,,
EFFECT_ADJUST_ALL_DISTRICTS_CULTURE_BOMB,,,,,,
EFFECT_ADJUST_ALL_DISTRICTS_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_ALL_DISTRICTS_PURCHASE_COST,Amount,,,,,
EFFECT_ADJUST_ALL_DISTRICT_PRODUCTION_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ALL_GREAT_WORKS_TOURISM_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ALL_GREAT_WORKS_YIELDS_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ALL_PROJECTS_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_ALL_UNITS_PURCHASE_COST,Amount,,,,,
EFFECT_ADJUST_ALL_UNITS_PURCHASE_COST,IncludeCivilian,,,,,
EFFECT_ADJUST_ALL_UNITS_PURCHASE_COST,UnitDomain,,,,,
EFFECT_ADJUST_ALL_UNIT_PRODUCTION_MODIFIER,Amount,,,,,
EFFECT_ADJUST_ATTACKER_STRENGTH_MODIFIER,Amount,,,,,
EFFECT_ADJUST_AUTO_THEMED_BUILDINGS_WITH_X_SLOTS,Amount,,,,,
EFFECT_ADJUST_AUTO_THEMED_BUILDINGS_WITH_X_SLOTS,IsWonder,,,,,
EFFECT_ADJUST_BANNED_DIPLOMATIC_ACTIONS,Banned,,,,,
EFFECT_ADJUST_BANNED_DIPLOMATIC_ACTIONS,DiplomaticActionType,,,,,
EFFECT_ADJUST_BANNED_DIPLOMATIC_ACTIONS_SPECIFIC_CIVILIZATION,CivilizationType,,,,,
EFFECT_ADJUST_BANNED_DIPLOMATIC_ACTIONS_SPECIFIC_CIVILIZATION,DiplomaticActionType,,,,,
EFFECT_ADJUST_BUILDING_FEATURE_YIELD_CHANGE,Amount,,int,,1,
EFFECT_ADJUST_BUILDING_FEATURE_YIELD_CHANGE,FeatureType,,database,,1,KIND_FEATURE
EFFECT_ADJUST_BUILDING_FEATURE_YIELD_CHANGE,YieldType,,database,,1,KIND_YIELD
EFFECT_ADJUST_BUILDING_HOUSING,Amount,,,,,
EFFECT_ADJUST_BUILDING_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_BUILDING_PRODUCTION,BuildingType,,,,,
EFFECT_ADJUST_BUILDING_PRODUCTION,DistrictType,,,,,
EFFECT_ADJUST_BUILDING_PURCHASE_COST,Amount,,,,,
EFFECT_ADJUST_BUILDING_PURCHASE_COST,BuildingType,,,,,
EFFECT_ADJUST_BUILDING_SPREAD_CHARGES,Amount,,,,,
EFFECT_ADJUST_BUILDING_YIELD_CHANGE,Amount,,,,,
EFFECT_ADJUST_BUILDING_YIELD_CHANGE,BuildingType,,,,,
EFFECT_ADJUST_BUILDING_YIELD_CHANGE,CityStatesOnly,,,,,
EFFECT_ADJUST_BUILDING_YIELD_CHANGE,YieldType,,,,,
EFFECT_ADJUST_BUILDING_YIELD_MODIFIER,Amount,,,,,
EFFECT_ADJUST_BUILDING_YIELD_MODIFIER,BuildingType,,,,,
EFFECT_ADJUST_BUILDING_YIELD_MODIFIER,YieldType,,,,,
EFFECT_ADJUST_BUILDING_YIELD_MODIFIERS_FOR_DISTRICT,Amount,,,,,
EFFECT_ADJUST_BUILDING_YIELD_MODIFIERS_FOR_DISTRICT,DistrictType,,,,,
EFFECT_ADJUST_BUILDING_YIELD_MODIFIERS_FOR_DISTRICT,YieldType,,,,,
EFFECT_ADJUST_CAN_FAITH_PURCHASE_DISTRICTS,CanPurchase,,,,,
EFFECT_ADJUST_CITIES_FRESHWATER_HOUSING_BONUS,HasBonus,,,,,
EFFECT_ADJUST_CITIES_HAS_URBAN_DEFENSES,DefenseValue,,,,,
EFFECT_ADJUST_CITY_AIR_DEFENSE_BONUS,Amount,,,,,
EFFECT_ADJUST_CITY_ALLOWED_IMPROVEMENT,ImprovementType,,,,,
EFFECT_ADJUST_CITY_ALLOWED_INCOMING_REGIONAL_STACKING,YieldType,,,,,
EFFECT_ADJUST_CITY_ALL_MILITARY_UNITS_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_CITY_ALL_MILITARY_UNITS_PRODUCTION,EndEra,,,,,
EFFECT_ADJUST_CITY_ALL_MILITARY_UNITS_PRODUCTION,PromotionClass,,,,,
EFFECT_ADJUST_CITY_ALL_MILITARY_UNITS_PRODUCTION,StartEra,,,,,
EFFECT_ADJUST_CITY_ALL_YIELDS_CHANGE,Amount,,,,,
EFFECT_ADJUST_CITY_ALWAYS_LOYAL,AlwaysLoyal,,,,,
EFFECT_ADJUST_CITY_AMENITIES_FROM_CITY_STATES,Amount,,,,,
EFFECT_ADJUST_CITY_AMENITIES_FROM_GOVERNORS,Amount,,,,,
EFFECT_ADJUST_CITY_AMENITIES_FROM_GREAT_PEOPLE,Amount,,,,,
EFFECT_ADJUST_CITY_AMENITIES_FROM_RELIGION,Amount,,,,,
EFFECT_ADJUST_CITY_APPEAL,Amount,,,,,
EFFECT_ADJUST_CITY_ATTACKS_PER_TURN,Amount,,,,,
EFFECT_ADJUST_CITY_CAN_PURCHASE_DISTRICTS,CanPurchase,,,,,
EFFECT_ADJUST_CITY_COMBAT_BONUS,Amount,,,,,
EFFECT_ADJUST_CITY_CORPS_ARMY_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_CITY_CORPS_ARMY_PRODUCTION,UnitDomain,,,,,
EFFECT_ADJUST_CITY_CULTURE_BORDER_EXPANSION,Amount,,,,,
EFFECT_ADJUST_CITY_ENTERTAINMENT,Amount,,,,,
EFFECT_ADJUST_CITY_ENTERTAINMENT_FROM_WONDER_ADJACENT_TO_LAKE,BuildingType,,,,,
EFFECT_ADJUST_CITY_EXTRA_ACCUMULATION,Amount,,,,,
EFFECT_ADJUST_CITY_EXTRA_ACCUMULATION_FOR_STRATEGIC_DIVERSITY,Amount,,,,,
EFFECT_ADJUST_CITY_EXTRA_ACCUMULATION_SPECIFIC_RESOURCE,Amount,,,,,
EFFECT_ADJUST_CITY_EXTRA_ACCUMULATION_SPECIFIC_RESOURCE,ResourceType,,,,,
EFFECT_ADJUST_CITY_EXTRA_AMENITY_FOR_LUXURY_DIVERSITY,Amount,,,,,
EFFECT_ADJUST_CITY_EXTRA_DISTRICTS,Amount,,,,,
EFFECT_ADJUST_CITY_FREE_POWER,Amount,,,,,
EFFECT_ADJUST_CITY_FREE_POWER,SourceType,,,,,
EFFECT_ADJUST_CITY_FRIENDLY_COMBAT_BONUS,Amount,,,,,
EFFECT_ADJUST_CITY_GOLD_FROM_CITIZENS,Amount,,,,,
EFFECT_ADJUST_CITY_GREATWORK_YIELD,GreatWorkObjectType,,,,,
EFFECT_ADJUST_CITY_GREATWORK_YIELD,ScalingFactor,,,,,
EFFECT_ADJUST_CITY_GREATWORK_YIELD,YieldChange,,,,,
EFFECT_ADJUST_CITY_GREATWORK_YIELD,YieldType,,,,,
EFFECT_ADJUST_CITY_GREAT_PERSON_POINTS_MODIFIER,Amount,,,,,
