RequirementType,Name,Example,Description,ArgumentType,DefaultValue,Required,DatabaseKind
REQUIREMENT_PLAYER_AVERAGE_WALL_LEVEL_THRESHOLD,AboveThreshold,0,,,,,
REQUIREMENT_PLAYER_DISTRICT_THRESHOLD,AboveThreshold,0,,,,,
REQUIREMENT_PLAYER_WITH_SHIELD_OR_ON_IT,AgreementValue,0,,,,,
REQUIREMENT_ATTACKER_PLOT_IMPROVEMENT_DEFENSE_STRENGTH,Amount,1,,,,,
REQUIREMENT_CITY_HAS_GOVERNOR_WITH_X_TITLES,Amount,2,,,,,
REQUIREMENT_CITY_HAS_HIGH_ADJACENCY_DISTRICT,Amount,4,,,,,
REQUIREMENT_CITY_HAS_X_FEATURE_TYPE,Amount,1,,,,,
REQUIREMENT_CITY_HAS_X_POPULATION,Amount,10,,,,,
REQUIREMENT_CITY_HAS_X_SPECIALTY_DISTRICTS,Amount,1,The provided amount.,int,0,0,
REQUIREMENT_CITY_HAS_X_TERRAIN_TYPE,Amount,5,,,,,
REQUIREMENT_PLAYER_HAS_AT_LEAST_NUMBER_CITIES,Amount,1,,,,,
REQUIREMENT_PLAYER_HAS_AT_LEAST_NUM_MILITARY_UNITS,Amount,10,,,,,
REQUIREMENT_PLAYER_IS_SUZERAIN_X_TYPE,Amount,1,,,,,
REQUIREMENT_PLAYER_AVERAGE_WALL_LEVEL_THRESHOLD,AverageWallLevelThreshold,0.5,,,,,
REQUIREMENT_PLAYER_FOUNDED_RELIGION_WITH_BELIEF,BeliefType,BELIEF_PAPAL_PRIMACY,,,,,
REQUIREMENT_PLAYER_COASTAL_CITIES,BelowPercentage,0,,,,,
REQUIREMENT_PLAYER_MOUNTAIN_CITIES,BelowPercentage,0,,,,,
REQUIREMENT_PLAYER_CIVILIZED,BelowThreshold,1,,,,,
REQUIREMENT_PLAYER_NUKE_LOVER,BelowThreshold,1,,,,,
REQUIREMENT_CITY_HAS_BUILDING,BuildingType,BUILDING_AMPHITHEATER,,,,,
REQUIREMENT_PLAYER_HAS_BUILDING,BuildingType,BUILDING_GOV_CITYSTATES,,,,,
REQUIREMENT_PLOT_ADJACENT_BUILDING_TYPE_MATCHES,BuildingType,,database,,1,,KIND_BUILDING
REQUIREMENT_PLAYER_NUKE_LOVER,BuiltNukeValue,1,,,,,
REQUIREMENT_PLAYER_CIVILIZED,CampToCityDistance,10,,,,,
REQUIREMENT_PLAYER_HAS_MANY_ALLIANCES,ChecKForFewer,1,,,,,
REQUIREMENT_PLAYER_HAS_CIVIC,CivicType,CIVIC_CIVIL_ENGINEERING,,,,,
REQUIREMENT_PLAYER_TYPE_MATCHES,CivilizationType,CIVILIZATION_MAYA,,,,,
REQUIREMENT_PLAYER_CIVILIZED,ClearedCampValue,1,,,,,
REQUIREMENT_COLLECTION_ALL_MET,CollectionType,COLLECTION_MAJOR_OPPOSING_PLAYERS,,,,,
REQUIREMENT_COLLECTION_ANY_MET,CollectionType,COLLECTION_TEAM_PLAYERS,,,,,
REQUIREMENT_COLLECTION_COUNT_ATLEAST,CollectionType,COLLECTION_PLAYER_CAPITAL_CITY,,,,,
REQUIREMENT_COLLECTION_COUNT_EQUALS,CollectionType,COLLECTION_MAJOR_TEAMS,,,,,
REQUIREMENT_COMBAT_TYPE_MATCHES,CombatType,COMBAT_MELEE,,,,,
REQUIREMENT_COMBAT_VERSUS_TYPE_MATCHES,CombatVersusType,COMBAT_DISTRICT_VS_UNIT,,,,,
REQUIREMENT_COLLECTION_COUNT_ATLEAST,Count,1,,,,,
REQUIREMENT_COLLECTION_COUNT_EQUALS,Count,1,,,,,
REQUIREMENT_PLAYER_MOUNTAIN_CITIES,DistanceToMountain,2,,,,,
REQUIREMENT_PLAYER_DISTRICT_THRESHOLD,DistrictPercentThreshold,60,,,,,
REQUIREMENT_CITY_HAS_DISTRICT,DistrictType,DISTRICT_AQUEDUCT,The type of the district to check for.,database,,1,KIND_DISTRICT
REQUIREMENT_CITY_HAS_HIGH_ADJACENCY_DISTRICT,DistrictType,DISTRICT_CAMPUS,,,,,
REQUIREMENT_DISTRICT_TYPE_MATCHES,DistrictType,DISTRICT_AQUEDUCT,,,,,
REQUIREMENT_PLAYER_HAS_DISTRICT,DistrictType,DISTRICT_GOVERNMENT,,,,,
REQUIREMENT_PLOT_ADJACENT_DISTRICT_TYPE_MATCHES,DistrictType,DISTRICT_AQUEDUCT,,,,,
REQUIREMENT_PLOT_DISTRICT_TYPE_MATCHES,DistrictType,DISTRICT_COMMERCIAL_HUB,The type of the district to check for.,database,,1,KIND_DISTRICT
REQUIREMENT_PLOT_UNIT_CITY_HAS_DISTRICT_SAME_OWNER,DistrictType,DISTRICT_COTHON,The type of the district to check for.,database,,1,KIND_DISTRICT
REQUIREMENT_PLAYER_MILITARY_STRENGTH_LEAD,DomainType,DOMAIN_AIR,,,,,
REQUIREMENT_PLOT_WONDER_IS_ERA,EarliestEra,ERA_ANCIENT,,,,,
REQUIREMENT_GAME_ERA_ATLEAST_EXPANSION,EraType,ERA_ATOMIC,,,,,
REQUIREMENT_GAME_ERA_ATMOST_EXPANSION,EraType,ERA_MODERN,,,,,
REQUIREMENT_GAME_ERA_IS,EraType,ERA_ATOMIC,,,,,
REQUIREMENT_PLAYER_ERA_AT_LEAST,EraType,ERA_INDUSTRIAL,,,,,
REQUIREMENT_UNIT_ERA_TYPE_MATCHES,EraType,ERA_ATOMIC,,,,,
REQUIREMENT_CITY_HAS_GOVERNOR,Established,0,,,,,
REQUIREMENT_CITY_HAS_GOVERNOR_WITH_X_TITLES,Established,1,,,,,
REQUIREMENT_CITY_HAS_SPECIFIC_GOVERNOR_PROMOTION_TYPE,Established,1,,,,,
